;0
0;abierta
1;abierta integral
2;acabados
3;acceso
4;acceso vias
5;acueducto
6;ademas
7;administracion
8;administracion predial
9;adultos
10;aeropuerto
11;agua
12;aire
13;aire libre
14;alcoba
15;alcoba principal
16;alcoba servicio
17;alcobas
18;alcobas alcoba
19;alcobas baño
20;alcobas baños
21;alcobas closet
22;alcobas closets
23;alcobas principal
24;alcobas vestier
25;alta
26;alta valorizacion
27;alto
28;ambiente
29;americana
30;amplia
31;amplias
32;amplias zonas
33;amplio
34;amplios
35;amplios espacios
36;antioqueño
37;antioquia
38;antonio
39;antonio pereira
40;anual
41;apartamento
42;apartamento ubicado
43;apartamento unidad
44;apartamento venta
45;apartamentos
46;aprox
47;aptos
48;arboles
49;arboles frutales
50;area
51;area construida
52;area lote
53;area mt
54;area mts
55;area mâ²
56;ascensor
57;ascensores
58;autopista
59;autopista medellin
60;auxiliar
61;balcon
62;balcon cocina
63;balcon parqueadero
64;balcones
65;barra
66;baã
67;baño
68;baño baño
69;baño closet
70;baño privado
71;baño social
72;baño vestier
73;baños
74;baños cabinados
75;baños cocina
76;baños completos
77;baños sala
78;bbq
79;bemsa
80;biblioteca
81;bogota
82;bosque
83;cabinados
84;calentador
85;cambios
86;campestre
87;cancha
88;carmen
89;carro
90;carros
91;casa
92;casa campestre
93;casa finca
94;casa mayordomo
95;casa niveles
96;casa principal
97;casa ubicada
98;casa unidad
99;casa venta
100;casas
101;catolica
102;ceja
103;cel
104;centro
105;centro comercial
106;centros
107;centros comerciales
108;ceramica
109;cercano
110;cerrada
111;cerrada porteria
112;cerrada sector
113;cerrado
114;chimenea
115;cita
116;climatizada
117;clinica
118;clinica somer
119;closet
120;closet baño
121;closet baños
122;closets
123;closets vestier
124;club
125;cocina
126;cocina abierta
127;cocina integral
128;cocina semi
129;codigo
130;colegios
131;colombia
132;comedor
133;comedor alcobas
134;comedor balcon
135;comedor biblioteca
136;comedor chimenea
137;comedor cocina
138;comedor patio
139;comedor zona
140;comercial
141;comercial san
142;comerciales
143;comerciales colegios
144;comodidades
145;comodidades sala
146;completo
147;completos
148;comunes
149;conjunto
150;consta
151;construccion
152;construida
153;construida mt
154;construidos
155;cordova
156;corredores
157;cuadrados
158;cuadras
159;cuarto
160;cuarto util
161;cuartos
162;cubierta
163;cubierto
164;cubierto carros
165;cubierto cuarto
166;cubiertos
167;deck
168;desarrollo
169;descubierto
170;deseas
171;deseas mas
172;despensa
173;disfrutar
174;distribuidos
175;doble
176;doble paralelo
177;ducha
178;edificio
179;electrica
180;electrico
181;energia
182;entorno
183;entrega
184;escribenos
185;escribenos whatsapp
186;escrituras
187;espacio
188;espacios
189;espectacular
190;espectacular casa
191;estrato
192;estrenar
193;estudio
194;excelente
195;excelente ubicacion
196;excelente vista
197;excelentes
198;excelentes acabados
199;exclusiva
200;exclusivo
201;facil
202;facil acceso
203;familia
204;finca
205;finca ubicada
206;finca venta
207;frutales
208;garaje
209;garaje cubierto
210;garaje doble
211;garaje sencillo
212;gas
213;gas porteria
214;gas red
215;gimnasio
216;grande
217;guarne
218;habitacion
219;habitacion closet
220;habitacion principal
221;habitaciones
222;habitaciones baño
223;habitaciones baños
224;habitaciones closet
225;habitaciones principal
226;hermosa
227;hermosa casa
228;hermosa finca
229;hermosa vista
230;hermoso
231;hermoso apartamento
232;hermosos
233;horas
234;horas zonas
235;hospital
236;hospital san
237;hospitales
238;ideal
239;iglesia
240;iglesias
241;iluminacion
242;incluye
243;independiente
244;infantil
245;infantiles
246;informacion
247;inmobiliaria
248;inmueble
249;integral
250;integral abierta
251;integral barra
252;integral patio
253;integral sala
254;integral zona
255;interior
256;internet
257;interno
258;inversion
259;isla
260;jacuzzi
261;jardin
262;jardines
263;jose
264;jose maria
265;juegos
266;juegos infantiles
267;km
268;lago
269;libre
270;lineal
271;llamanos
272;llamanos telefono
273;llano
274;llano grande
275;llanogrande
276;lote
277;lote mt
278;madera
279;mall
280;maria
281;maria cordova
282;marinilla
283;mas
284;mascotas
285;mayordomo
286;medellin
287;medellin bogota
288;metros
289;metros cuadrados
290;millones
291;minutos
292;minutos aeropuerto
293;minutos medellin
294;minutos parque
295;moderna
296;moderno
297;modernos
298;mt
299;mt alcobas
300;mt area
301;mt niveles
302;mts
303;mtsâ²
304;municipio
305;municipio retiro
306;mâ²
307;natural
308;naturaleza
309;nicolas
310;nivel
311;niveles
312;niveles alcobas
313;niños
314;ofrece
315;oportunidad
316;oriente
317;oriente antioqueño
318;panoramica
319;paralelo
320;parcelacion
321;parque
322;parque infantil
323;parque principal
324;parqueadero
325;parqueadero cuarto
326;parqueadero cubierto
327;parqueadero doble
328;parqueadero visitantes
329;parqueaderos
330;parqueaderos cubiertos
331;parques
332;patio
333;patio ropas
334;pavimentada
335;pereira
336;piscina
337;piso
338;piso ceramica
339;piso porcelanato
340;pisos
341;plana
342;plano
343;porcelanato
344;porteria
345;porteria horas
346;posibilidad
347;precio
348;predial
349;predial anual
350;principal
351;principal baño
352;principal vestier
353;privado
354;propiedad
355;propiedad raiz
356;proyecto
357;publico
358;publico vigilancia
359;publicos
360;publicos red
361;puerta
362;raiz
363;red
364;red gas
365;reserva
366;residencial
367;restaurantes
368;retiro
369;retiro sector
370;rionegro
371;rionegro antioquia
372;rionegro sector
373;rodeada
374;rodeado
375;ropa
376;ropas
377;ropas balcon
378;ropas cubierto
379;ropas independiente
380;ropas parqueadero
381;ropas patio
382;ropas terraza
383;rutas
384;sala
385;sala comedor
386;salon
387;salon comedor
388;salon social
389;san
390;san antonio
391;san nicolas
392;san vicente
393;sauna
394;sauna turco
395;sector
396;sector colegios
397;sector san
398;sector tranquilo
399;segura
400;seguridad
401;seguro
402;semi
403;semi integral
404;sencillo
405;sencillo servicios
406;senderos
407;servicio
408;servicio baño
409;servicio baños
410;servicios
411;servicios publicos
412;social
413;social cocina
414;social sala
415;social zona
416;sociales
417;somer
418;sujeta
419;supermercados
420;tambien
421;telefono
422;telefono cel
423;tercer
424;terraza
425;terreno
426;tipo
427;topografia
428;torre
429;torres
430;totalmente
431;tradicional
432;tranquila
433;tranquilidad
434;tranquilo
435;tranquilo zonas
436;transporte
437;transporte publico
438;tunel
439;tunel oriente
440;turco
441;turco sauna
442;tv
443;ubicacion
444;ubicada
445;ubicada rionegro
446;ubicado
447;ubicado rionegro
448;unidad
449;unidad abierta
450;unidad cerrada
451;universidad
452;universidad catolica
453;universidades
454;urbanizacion
455;util
456;util garaje
457;util unidad
458;valorizacion
459;vehiculos
460;vende
461;vendo
462;venta
463;venta rionegro
464;venta sector
465;venta ubicada
466;venta ubicado
467;verde
468;verdes
469;verdes salon
470;vereda
471;vestier
472;vestier baño
473;vestier baños
474;vestier closet
475;via
476;via principal
477;vias
478;vias acceso
479;vias transporte
480;vicente
481;vigilancia
482;vigilancia horas
483;visitantes
484;vista
485;vista panoramica
486;viva
487;vivir
488;whatsapp
489;zona
490;zona alta
491;zona bbq
492;zona mascotas
493;zona ropa
494;zona ropas
495;zona verde
496;zonas
497;zonas comerciales
498;zonas comunes
499;zonas verdes
