;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_rnn__alpha;param_rnn__hidden_layer_sizes;param_rnn__learning_rate_init;param_rnn__max_iter
0;0;1,2799963474273681;0,009572353542820052;0,016922760009765624;0,000460102133381542;6;2;4;100;-106889820,43636253;-77157431,47310124;-81169203,11067604;-90669780,22703138;-87376089,07976523;-88652464,86538728;10260943,755970255;106;-79600655,29855192;-82261241,83908793;-80225720,44904834;-80893743,48095226;-81969228,09674832;-80990117,83287776;1009812,9191478982;106889820,43636253;77157431,47310124;81169203,11067604;90669780,22703138;87376089,07976523;88652464,86538728;10260943,755970255;3;79600655,29855192;82261241,83908793;80225720,44904834;80893743,48095226;81969228,09674832;80990117,83287776;1009812,9191478982;0,744147542614646;0,7281975171455087;0,7583868001870329;0,7895847605609735;0,7838397120714218;0,7608312665159166;0,02326127960150618;92;0,8219502909743405;0,8177825086175121;0,8217461913381512;0,819996937454589;0,8155995335478893;0,8194150923864963;0,0024258448795873235;7,505387006651456e+16;8,315139273437322e+16;8,430585494269082e+16;6,658095470341427e+16;7,348549514021258e+16;7,65155135174411e+16;6553429396537519,0;16;5,837157040289789e+16;5,9483659697527624e+16;5,7323036773348856e+16;5,854607274336564e+16;5,949553128103119e+16;5,864397417963424e+16;807327121559420,9;0,2781626476477053;0,2562757375847175;0,24872158342057174;0,22923573416565862;0,2635140080275902;0,25518194216924867;0,016209099167402086;1;0,23710069469199185;0,240071537092421;0,23809680034737962;0,23935197406269962;0,23975565038333152;0,2388753313155647;0,0011125200082878286;modelo_rf;;;;;;;;
1;1;1,5167611598968507;0,017040802253392662;0,021155643463134765;0,0038117088813634913;6;2;4;120;-105739675,42687532;-78076929,71940231;-79558167,03287439;-92598097,53252183;-86740707,92329718;-88542715,5269942;10056675,083010696;105;-78683000,81144184;-82521095,2941561;-80200766,61972588;-81241698,20028973;-80585365,83061332;-80646385,35124537;1259056,237441712;105739675,42687532;78076929,71940231;79558167,03287439;92598097,53252183;86740707,92329718;88542715,5269942;10056675,083010696;4;78683000,81144184;82521095,2941561;80200766,61972588;81241698,20028973;80585365,83061332;80646385,35124537;1259056,237441712;0,7453834814757812;0,7270726605273998;0,7579114509327068;0,7886906195320857;0,7856271816732214;0,7609370788282389;0,023570014177826473;91;0,8219235519113979;0,8191687963184037;0,8208762624870128;0,8205536018094547;0,8160620257966533;0,8197168476645844;0,002028399715375978;7,46913095672262e+16;8,349551539815442e+16;8,447171808805435e+16;6,6863884606692904e+16;7,287782992105942e+16;7,648005151623747e+16;6659275220122924,0;18;5,838033650031867e+16;5,9031115514106696e+16;5,760278935702913e+16;5,836501742490189e+16;5,934631136536076e+16;5,854511403234342e+16;604264316915784,9;0,2781671939058428;0,25489998561769056;0,24747010170357672;0,2304484559260627;0,2623564021301375;0,25466842785666205;0,015809955806299122;5;0,2372761231863601;0,23937765389301577;0,23830521027370186;0,23953724483861255;0,23940829834339744;0,23878090610701755;0,0008732050594689143;modelo_rf;;;;;;;;
2;2;1,9119507789611816;0,009770837346457747;0,02245945930480957;0,00038956196221712056;6;2;4;150;-103595018,83533192;-78185180,54031348;-78544374,32212418;-91559423,75794649;-85962492,47135806;-87569297,98541483;9432259,1541133;101;-79633571,5145523;-83403248,33487394;-80160145,97317585;-80286304,94920278;-80986940,12631753;-80894042,17962448;1326761,473561049;103595018,83533192;78185180,54031348;78544374,32212418;91559423,75794649;85962492,47135806;87569297,98541483;9432259,1541133;8;79633571,5145523;83403248,33487394;80160145,97317585;80286304,94920278;80986940,12631753;80894042,17962448;1326761,473561049;0,7462231094939931;0,7278877648432716;0,7562190048532538;0,787887816821726;0,7845169935916476;0,7605469379207783;0,02285874834493069;97;0,821454895150842;0,8204796645613087;0,8208667970211984;0,821325828008844;0,8162787638481058;0,8200811897180598;0,0019323868465130774;7,444500615928912e+16;8,324615395606333e+16;8,506226162534098e+16;6,71179126468517e+16;7,325524763110694e+16;7,662531640373042e+16;6656115639881538,0;12;5,85339802846488e+16;5,860319149936112e+16;5,760583327092378e+16;5,8113850524714424e+16;5,927638233661107e+16;5,842664758325184e+16;554313151444758,06;0,2775645791663774;0,25534917085377085;0,24762789499126933;0,23091515957002054;0,2618154841547385;0,2546544577472353;0,015424418634486186;6;0,23767002594806202;0,23950852289315766;0,23816738902328516;0,2389795977027588;0,2388181915190238;0,23862874541725748;0,0006426489401984287;modelo_rf;;;;;;;;
3;3;1,2651646137237549;0,006480820959602594;0,017212486267089842;0,0004257466035016791;6;2;5;100;-106889820,43636253;-76805746,66279466;-81169203,11067604;-91124001,00625214;-87919819,05226177;-88781718,05366944;10348978,748968726;108;-80107463,2091909;-82434560,95207587;-80225720,44904834;-80893743,48095226;-81677194,20768225;-81067736,45978992;883293,5156588323;106889820,43636253;76805746,66279466;81169203,11067604;91124001,00625214;87919819,05226177;88781718,05366944;10348978,748968726;1;80107463,2091909;82434560,95207587;80225720,44904834;80893743,48095226;81677194,20768225;81067736,45978992;883293,5156588323;0,7450004826807601;0,7261020280900314;0,7580763472901864;0,7891405024490701;0,784746718422378;0,7606132157864852;0,023822037053215728;96;0,820785888534638;0,8169248387450397;0,8208006407340904;0,8191319243530979;0,8143642190231919;0,8184015022780116;0,002467989903919985;7,480366159265093e+16;8,37924569056518e+16;8,441418096506186e+16;6,672152973640198e+16;7,31771507563572e+16;7,658179599122474e+16;6712944315751915,0;13;5,875330648861427e+16;5,976364018919121e+16;5,7627107875416936e+16;5,882741862297303e+16;5,989409694282213e+16;5,89731140238035e+16;819074625309588,5;0,2780702625837028;0,25673849572060015;0,24832596965026643;0,22918530102265391;0,2633107639739863;0,2551261585902419;0,016218446074353427;3;0,2374227725281068;0,24037962057080764;0,23822762356013888;0,23956725325654646;0,24000394089159796;0,23912024216143957;0,001117581985027453;modelo_rf;;;;;;;;
4;4;1,516425657272339;0,014188406907572799;0,018992853164672852;0,00019983302640060795;6;2;5;120;-104662512,8059412;-78076929,71940231;-79558167,03287439;-92598097,53252183;-86740707,92329718;-88327283,00280738;9690861,130777603;103;-78552666,25898027;-82401402,21780252;-80316697,83515;-81241698,20028973;-80617246,78047729;-80625942,25853996;1259015,054860863;104662512,8059412;78076929,71940231;79558167,03287439;92598097,53252183;86740707,92329718;88327283,00280738;9690861,130777603;6;78552666,25898027;82401402,21780252;80316697,83515;81241698,20028973;80617246,78047729;80625942,25853996;1259015,054860863;0,7461389998752861;0,7252439672272524;0,7576027061826353;0,7883785230056356;0,7864845870489854;0,7607697566679589;0,02412329765476411;94;0,8207655477023714;0,818307775120384;0,8199358490109171;0,8196200381306078;0,8149381794044894;0,8187134778737539;0,002046680558070633;7,446967956855902e+16;8,405495986383531e+16;8,457944808845994e+16;6,696264021368256e+16;7,258634780296235e+16;7,653061510749984e+16;6822760728643715,0;15;5,875997499893762e+16;5,9312190023182504e+16;5,790520845638567e+16;5,8668659408985064e+16;5,970891260746456e+16;5,887098909899108e+16;613639592115730,2;0,2780373299390893;0,25535516323172514;0,24718539935871706;0,23015876468883276;0,26213893828528173;0,25457511910072916;0,01586859469240668;9;0,23760978581982917;0,23968588573020988;0,23843143625197508;0,2397480582963411;0,23965371914419775;0,2390257770485106;0,0008613962027183031;modelo_rf;;;;;;;;
5;5;1,8789271354675292;0,009392437590430834;0,022063064575195312;0,0002606205998171686;6;2;5;150;-103468625,2973805;-78453917,0803586;-78544374,32212418;-91559423,75794649;-85753068,55258353;-87555881,80207866;9343949,038912108;100;-79497671,44928005;-83500399,60034809;-80311907,21084872;-80359281,83882104;-80986940,12631753;-80931240,04512307;1368905,5181131328;103468625,2973805;78453917,0803586;78544374,32212418;91559423,75794649;85753068,55258353;87555881,80207866;9343949,038912108;9;79497671,44928005;83500399,60034809;80311907,21084872;80359281,83882104;80986940,12631753;80931240,04512307;1368905,5181131328;0,7470368231328908;0,7264889305733386;0,7559367321785273;0,7875696626182725;0,7853175987004508;0,760469949440696;0,02327018999687747;98;0,8203599340302398;0,8195558295080959;0,8198698666170381;0,8204250179539513;0,8151606729394452;0,8190742642097539;0,0019828548874212554;7,420630468911645e+16;8,367409345289187e+16;8,516075475066773e+16;6,7218585063285576e+16;7,298307523812962e+16;7,664856263881824e+16;6784399702568655,0;11;5,889295082433365e+16;5,890477116388744e+16;5,792642714012157e+16;5,840683937865907e+16;5,9637126611889416e+16;5,875362302377822e+16;570499520233291,6;0,2774944480145446;0,2557800674531679;0,24745971376513148;0,23074543095235006;0,2616647209750266;0,2546288762320441;0,015462720163805316;7;0,23800249920921732;0,2397727426998549;0,23833086581294705;0,23917130989133742;0,2390782742960631;0,23887113838188395;0,0006312411629877975;modelo_rf;;;;;;;;
6;6;1,2472073554992675;0,008057636466758576;0,016765451431274413;0,0004944718929476024;6;2;6;100;-106889820,43636253;-77157431,47310124;-79942952,29465018;-91540948,81109485;-87919819,05226177;-88690194,41349413;10482991,289988557;107;-79851942,6734733;-82261241,83908793;-80225720,44904834;-81093236,73343301;-81952271,72815788;-81076882,6846401;937468,4230844433;106889820,43636253;77157431,47310124;79942952,29465018;91540948,81109485;87919819,05226177;88690194,41349413;10482991,289988557;2;79851942,6734733;82261241,83908793;80225720,44904834;81093236,73343301;81952271,72815788;81076882,6846401;937468,4230844433;0,7445193125604024;0,7263395016636613;0,7589952255601007;0,7895756328660484;0,7843346298370273;0,760752860497448;0,023823302363935938;95;0,8198474389650592;0,8160157772603965;0,8196395764778739;0,818126417955942;0,8128817235837489;0,8173021868486042;0,0026006307172763794;7,494481200434632e+16;8,371980761202667e+16;8,409355767877883e+16;6,65838429478398e+16;7,331724371249784e+16;7,653185279109789e+16;6643212854405343,0;14;5,906096649783306e+16;6,006039712282244e+16;5,800048407172348e+16;5,915446000682145e+16;6,037241381201659e+16;5,932974430224341e+16;835573109145796,0;0,27819766845595467;0,25697614461783674;0,24814830766006876;0,229232681593053;0,2632916125806247;0,25516928298150754;0,01625758229686749;2;0,2376035331258824;0,24067171978438087;0,23862137692112018;0,23971204394282344;0,240470075190305;0,23941574979290237;0,0011568932875618784;modelo_rf;;;;;;;;
7;7;1,5067240715026855;0,009078684994635496;0,018829965591430665;0,0003081759708294889;6;2;6;120;-105739675,42687532;-78076929,71940231;-79028653,1439855;-92598097,53252183;-87202785,34038687;-88529228,23263437;10139291,020347385;104;-78904161,78427821;-82056286,28166196;-80200766,61972588;-81046255,55833331;-80762220,3866328;-80593938,12612644;1037429,51814499;105739675,42687532;78076929,71940231;79028653,1439855;92598097,53252183;87202785,34038687;88529228,23263437;10139291,020347385;5;78904161,78427821;82056286,28166196;80200766,61972588;81046255,55833331;80762220,3866328;80593938,12612644;1037429,51814499;0,7457789675007147;0,7253173457560101;0,7583216274664625;0,7887539431826447;0,7859585072159831;0,760826078224363;0,02410461584171954;93;0,8197455710647581;0,8173881924805125;0,8187427834808128;0,8187204767352527;0,813497905297594;0,817618985811786;0,002192493487322642;7,45752944347869e+16;8,403251147852654e+16;8,432859559564718e+16;6,684384732649991e+16;7,276519303573806e+16;7,650908837423971e+16;6766384325599510,0;17;5,9094362729406584e+16;5,961238151631997e+16;5,828887565412237e+16;5,896124213588337e+16;6,017360705660963e+16;5,9226093818468376e+16;634488282498270,9;0,27796731282054205;0,2555310826063752;0,2470590519453089;0,23019840834234792;0,26219769498031953;0,2545907101389787;0,015855133766510404;8;0,23781900476848528;0,23996198694512463;0,23885129508523825;0,23989546112821009;0,2400535593934815;0,23931626146410795;0,0008664886878032398;modelo_rf;;;;;;;;
8;8;1,8847903728485107;0,02699403998487492;0,02265024185180664;0,0008318443563454678;6;2;6;150;-103903398,88437074;-78717553,44399497;-78544374,32212418;-91559423,75794649;-85723187,60020258;-87689587,6017278;9443117,705589594;102;-79633571,5145523;-82852981,00112796;-80211512,20515764;-80620658,01251937;-81086105,77349764;-80880965,70137098;1095704,989989944;103903398,88437074;78717553,44399497;78544374,32212418;91559423,75794649;85723187,60020258;87689587,6017278;9443117,705589594;7;79633571,5145523;82852981,00112796;80211512,20515764;80620658,01251937;81086105,77349764;80880965,70137098;1095704,989989944;0,7465104480209066;0,7264129514523758;0,7565636248839192;0,7878692684919149;0,7848798067684065;0,7604472199235045;0,023309085779941403;99;0,8193216432610572;0,8185541706413441;0,8187577915443429;0,8194498574450874;0,8138070014740267;0,8179780928731717;0,0021122981642165465;7,436071590589675e+16;8,36973374264584e+16;8,494201369874544e+16;6,712378182966505e+16;7,313190626163978e+16;7,665115102448107e+16;6734821262698512,0;10;5,923334263437185e+16;5,923175588259269e+16;5,828404934615118e+16;5,872401074941842e+16;6,007387931954027e+16;5,910940758641489e+16;598378086568295,0;0,27771466208164647;0,256014457368047;0,24738963792024385;0,2307902378030819;0,26161803336295975;0,2547054057071958;0,015520178030278988;4;0,23823383248395447;0,24008484700269642;0,23870303671575313;0,23937821545239635;0,23948106765088337;0,23917619986113672;0,0006436356006201399;modelo_rf;;;;;;;;
9;9;1,2643915653228759;0,008705630514495626;0,016707611083984376;0,000464928269841705;6;3;4;100;-106618805,14181575;-74080218,76292479;-77975349,07413685;-90619742,49661818;-83573486,58832031;-86573520,41276318;11464699,668553863;94;-76805728,22429368;-81724978,59958935;-79322284,61654347;-78223703,74559076;-80046382,76013911;-79224615,58923128;1660692,4043084835;106618805,14181575;74080218,76292479;77975349,07413685;90619742,49661818;83573486,58832031;86573520,41276318;11464699,668553863;13;76805728,22429368;81724978,59958935;79322284,61654347;78223703,74559076;80046382,76013911;79224615,58923128;1660692,4043084835;0,7417316744825826;0,7319032109668633;0,7600125961919644;0,7886477940671411;0,7860157269860226;0,7616622005389149;0,022833576295507092;85;0,8175555738766358;0,8144996247803178;0,8172995366715826;0,8148521542283172;0,8104511205830385;0,8149316020279784;0,0025596864266056473;7,576256074994474e+16;8,201772537763405e+16;8,373856755001413e+16;6,687743571805364e+16;7,274574069704322e+16;7,622840601853795e+16;6159632456353574,0;22;5,9812328379270184e+16;6,055533477941249e+16;5,875299639599925e+16;6,021941567850689e+16;6,11566310086585e+16;6,009934124836946e+16;804391752179288,5;0,2787794945106498;0,2529290820859436;0,24873747982791228;0,2288792740056929;0,2615098290404679;0,25416703189413326;0,01631056860059405;10;0,23559822492404525;0,23953795670366002;0,23757644338542266;0,23932049259885635;0,2391777789319866;0,23824217930879418;0,0014933749945534919;modelo_rf;;;;;;;;
