;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_xgb__learning_rate;param_xgb__max_depth;param_xgb__reg_alpha
0;0;3,953145980834961;0,027810238905643672;0,029579591751098634;0,0014519401791694337;6;2;4;100;-103564454,84496048;-76319970,21173203;-101386812,86050618;-93842014,1468037;-88041505,10675675;-92630951,43415183;9846668,523676744;107;-75390545,69043815;-74611197,08532524;-73164640,57878427;-72868788,67488152;-78594894,87819207;-74926013,38152425;2054760,2608003777;103564454,84496048;76319970,21173203;101386812,86050618;93842014,1468037;88041505,10675675;92630951,43415183;9846668,523676744;2;75390545,69043815;74611197,08532524;73164640,57878427;72868788,67488152;78594894,87819207;74926013,38152425;2054760,2608003777;0,7414026089570525;0,7051844672381844;0,6855364334188688;0,6801417909011869;0,7808338382648339;0,7186198277560253;0,03780269153422407;100;0,8441303020804172;0,8420726110378028;0,8510062811500687;0,8524685892005022;0,8422893825235905;0,8463934331984762;0,004445680717667114;8,827729661247974e+16;8,300487924264547e+16;1,1763877897185387e+17;1,080184442884447e+17;8,186788072419686e+16;9,576145596792413e+16;1,4426540462400326e+16;9;4,922679777903292e+16;5,085589853103398e+16;4,644243513789669e+16;4,665934794272033e+16;4,924392750986474e+16;4,848568138010973e+16;1688340551157918,2;0,2895759467225701;0,25922799356580517;0,26073974831324165;0,27309896590417126;0,2409349996677886;0,26471553083471533;0,01612300118586978;9;0,22283449009362968;0,22236056569870857;0,21711382407440108;0,22019464068147543;0,2267277392330662;0,2218462519562562;0,0031683984830016346;modelo_rf;;;;;;;
1;1;4,700387573242187;0,03010565912600994;0,03201446533203125;0,0015502602929164458;6;2;4;120;-104745485,47983229;-76102394,29947364;-99205471,33483434;-95375189,86292621;-82282984,1298458;-91542305,02138247;10694530,984082596;97;-74578893,83158426;-75240126,4304758;-73184541,60378322;-73885081,77480105;-78838111,37506464;-75145351,00314179;1969740,4550749615;104745485,47983229;76102394,29947364;99205471,33483434;95375189,86292621;82282984,1298458;91542305,02138247;10694530,984082596;12;74578893,83158426;75240126,4304758;73184541,60378322;73885081,77480105;78838111,37506464;75145351,00314179;1969740,4550749615;0,7427526340574921;0,7047275283772176;0,685301613493424;0,677675891631019;0,7797274305488263;0,7180370196215958;0,0381951264470919;104;0,8442753562545681;0,842195487747119;0,8509343892377463;0,8519382223079524;0,8415618139955661;0,8461810539085903;0,004395292556363059;8,781643903868459e+16;8,313352970627778e+16;1,1772662358166962e+17;1,088511964122248e+17;8,228117105245424e+16;9,596179195826222e+16;1,4545893700503218e+16;5;4,918098674203704e+16;5,0816329679159224e+16;4,646484437434464e+16;4,682708560104456e+16;4,947110518772685e+16;4,855207031686246e+16;1655241120102591,5;0,28843012940240637;0,2593028333341213;0,2619311905791288;0,27454512030487344;0,24101114251033579;0,2650440832261732;0,01585819126971113;6;0,22333842612027127;0,2227748484398942;0,21737061143246136;0,22116832516430196;0,2264424043595348;0,22221892310329272;0,0029668170147030956;modelo_rf;;;;;;;
2;2;5,878754663467407;0,015239543770894709;0,03522133827209473;0,0005994136874419282;6;2;4;150;-102683954,06573024;-77439240,23309302;-101917482,63420731;-95991552,27812016;-82735250,46740991;-92153495,93571213;10258355,90869422;104;-75036265,98361069;-73742591,5884091;-72561179,74607289;-73469200,55715156;-77524551,29851961;-74466757,83475277;1721929,471561846;102683954,06573024;77439240,23309302;101917482,63420731;95991552,27812016;82735250,46740991;92153495,93571213;10258355,90869422;5;75036265,98361069;73742591,5884091;72561179,74607289;73469200,55715156;77524551,29851961;74466757,83475277;1721929,471561846;0,7444641487438729;0,7050413158676834;0,6836721519005111;0,6788131465695675;0,7792204994153673;0,7182422524994003;0,03828823688131494;103;0,8450750228804504;0,8428680736351756;0,8508125564057901;0,8528328097969429;0,8421428081679503;0,8467462541772619;0,004303626067639002;8,723217989741136e+16;8,304518330027275e+16;1,1833619458620872e+17;1,0846713714556582e+17;8,247053138637091e+16;9,59102452631659e+16;1,4710834671611738e+16;6;4,892843587545835e+16;5,0599743057287096e+16;4,650282056179381e+16;4,654415691021318e+16;4,928969422525429e+16;4,837297012600134e+16;1609314147780039,0;0,2873318695075078;0,26003742905259564;0,26342899187747754;0,27459421598169137;0,2408112116435618;0,2652407436125669;0,01550912149446481;4;0,22276521124719176;0,22228270315789667;0,21718534357016772;0,2210491840634939;0,22588780197592453;0,2218340488029349;0,002818784916084193;modelo_rf;;;;;;;
3;3;3,9319871425628663;0,026414648281973666;0,028097248077392577;0,0016015095174884758;6;2;5;100;-103564454,84496048;-76843242,95224512;-101386812,86050618;-94687124,6312916;-87306858,98638803;-92757698,85507828;9777032,569514818;108;-75421909,78904009;-74609114,28495112;-73164640,57878427;-72868788,67488152;-78583316,13597256;-74929553,89272591;2052157,2400694196;103564454,84496048;76843242,95224512;101386812,86050618;94687124,6312916;87306858,98638803;92757698,85507828;9777032,569514818;1;75421909,78904009;74609114,28495112;73164640,57878427;72868788,67488152;78583316,13597256;74929553,89272591;2052157,2400694196;0,7413206692293237;0,7052083560388704;0,6849808544009712;0,6801954641806914;0,7803843273641157;0,7184179342427945;0,03773024682837822;101;0,8433079617483422;0,8415477109366447;0,8501963535379393;0,8516966633463294;0,8415851197594597;0,8456667618657431;0,004383314577270237;8,830526834730614e+16;8,29981533859797e+16;1,1784661747600374e+17;1,0800031843146493e+17;8,203579215957934e+16;9,583722996006678e+16;1,4452722085211736e+16;8;4,948650945983365e+16;5,102492726290148e+16;4,669489551597879e+16;4,6903482780316216e+16;4,946382814217275e+16;4,871472863224058e+16;1664581075729829,2;0,28940253515637526;0,2594465535758517;0,26086049011866114;0,27321021577692584;0,24124747525474513;0,2648334539765118;0,01596816469284837;8;0,2230815079955386;0,22245776643300713;0,21721250104739862;0,22040000835320106;0,2268183342402013;0,22199402361386933;0,003164664134056826;modelo_rf;;;;;;;
4;4;4,747981977462769;0,038193643980205666;0,03070034980773926;0,0003090761795815818;6;2;5;120;-104745485,47983229;-76102394,29947364;-99475312,60467565;-95156198,63220236;-82343698,41556013;-91564617,88634881;10708123,344776915;98;-74696785,5940453;-74877799,10710663;-73289102,24696116;-74052326,50736955;-78842341,40713984;-75151670,9725245;1927728,9889234363;104745485,47983229;76102394,29947364;99475312,60467565;95156198,63220236;82343698,41556013;91564617,88634881;10708123,344776915;11;74696785,5940453;74877799,10710663;73289102,24696116;74052326,50736955;78842341,40713984;75151670,9725245;1927728,9889234363;0,7431084539352578;0,703990516714051;0,6848084724191188;0,6777805431020483;0,7791896651905473;0,7177755302722046;0,03818351867000903;106;0,8433984897871754;0,841653781711599;0,8501040792192507;0,8511247761013074;0,8407204289839142;0,8454003111606493;0,004355226784404322;8,769497293740856e+16;8,334103425506622e+16;1,1791110445642677e+17;1,0881585484908368e+17;8,248204928046456e+16;9,604900315568997e+16;1,4534706790055728e+16;3;4,945791887731215e+16;5,099077027085829e+16;4,6723658098010216e+16;4,7084351964748744e+16;4,973382118735111e+16;4,87981040796561e+16;1634562910444031,5;0,28809291913820195;0,25960171127310216;0,26202761668885394;0,2747832884323966;0,2413265966803167;0,26516642644257427;0,01566693184088565;5;0,2235852823169968;0,22285580187057522;0,21744803476441282;0,22137914008375542;0,22653674310619062;0,2223610004283862;0,0029759638059946004;modelo_rf;;;;;;;
5;5;5,891778898239136;0,05375482660038636;0,034317970275878906;0,0002475876558185349;6;2;5;150;-100577358,79500201;-77687233,88125098;-101917482,63420731;-95780441,16700909;-82783821,89598137;-91749267,67469016;9753954,68961636;100;-75036265,98361069;-73883601,8686338;-72384054,9360672;-73517984,71522152;-77524551,29851961;-74469291,76041058;1746556,6679688976;100577358,79500201;77687233,88125098;101917482,63420731;95780441,16700909;82783821,89598137;91749267,67469016;9753954,68961636;9;75036265,98361069;73883601,8686338;72384054,9360672;73517984,71522152;77524551,29851961;74469291,76041058;1746556,6679688976;0,744930555823051;0,7041404177593601;0,6830304907756126;0,6789568888210036;0,7787463341946028;0,717960937474726;0,038352792470513764;105;0,8441605710029823;0,8423193057562927;0,8500511219153145;0,8519200214777829;0,8412999695255711;0,8459501979355887;0,004253636972129731;8,707296268371595e+16;8,329882983643312e+16;1,1857623584780045e+17;1,0841859434148275e+17;8,26476522586341e+16;9,600285499361328e+16;1,4718728061184114e+16;4;4,921723824212492e+16;5,077645770918475e+16;4,674016527812572e+16;4,683284192685427e+16;4,955286410989468e+16;4,862391345323687e+16;1587757840558901,0;0,2869554147961316;0,26041365324133414;0,2635971704293321;0,27484549088882076;0,24094598803189932;0,2653515434775036;0,015361992154572712;2;0,22299696265117147;0,22239538083759822;0,21726913352952643;0,221313933382341;0,22601345426961927;0,2219977729340513;0,0028323077472301394;modelo_rf;;;;;;;
6;6;3,9574567794799806;0,052306863534370286;0,028424453735351563;0,0020841383699448366;6;2;6;100;-102606368,02798396;-76634916,39157057;-98568626,86181998;-95130490,51468748;-88448647,96389967;-92277809,95199233;9096745,310149368;106;-75291054,88133419;-74974491,36857569;-73264237,4924168;-72868788,67488152;-78594894,87819207;-74998693,45908006;2027982,1241458752;102606368,02798396;76634916,39157057;98568626,86181998;95130490,51468748;88448647,96389967;92277809,95199233;9096745,310149368;3;75291054,88133419;74974491,36857569;73264237,4924168;72868788,67488152;78594894,87819207;74998693,45908006;2027982,1241458752;0,7415361768355149;0,7044713045997975;0,685413279134907;0,6796779793573142;0,7806237834923114;0,718344504683969;0,037917261777843415;102;0,8424228230585575;0,8406470272114019;0,8493053657078276;0,8508344026227789;0,8406407268454996;0,844770069089213;0,004402398488221519;8,823170059475746e+16;8,320566913361602e+16;1,1768485019004915e+17;1,081750768211951e+17;8,19463451136184e+16;9,584872837064725e+16;1,4421493691508912e+16;7;4,9766054129965176e+16;5,13149661246879e+16;4,697262295863896e+16;4,717618757517624e+16;4,9758707567160376e+16;4,8997707671125736e+16;1670812222595745,8;0,2890129745763282;0,2598977062165876;0,26058305140302906;0,2735559244714196;0,2415052710697496;0,2649109855474228;0,015794507260226007;7;0,22324324142115548;0,222702332461036;0,2174753892658397;0,2206657668102436;0,22719681398419678;0,22225670878849435;0,0031927599093361145;modelo_rf;;;;;;;
7;7;4,6609694480896;0,03253112574913416;0,030519771575927734;0,0005785726879941158;6;2;6;120;-102186177,76695293;-76102394,29947364;-99475312,60467565;-97170145,02149272;-83364531,74889347;-91659712,28829768;10130104,795829644;99;-74454019,75296018;-75240126,4304758;-73243599,9358893;-74127126,84185177;-78842341,40713984;-75181442,87366338;1939153,61821593;102186177,76695293;76102394,29947364;99475312,60467565;97170145,02149272;83364531,74889347;91659712,28829768;10130104,795829644;10;74454019,75296018;75240126,4304758;73243599,9358893;74127126,84185177;78842341,40713984;75181442,87366338;1939153,61821593;0,7431653665706286;0,703737326234968;0,6850648220587711;0,6775147007346229;0,7792529956227326;0,7177470422443446;0,03824163823587366;107;0,8424876111312161;0,84076548646373;0,849282809721598;0,8502603415161654;0,8397884533948032;0,8445169404455024;0,004387489944082656;8,767554469192872e+16;8,341231966172304e+16;1,1781520572028245e+17;1,0890563175065563e+17;8,245839267112622e+16;9,60534188991432e+16;1,4515961181623316e+16;2;4,9745592748479096e+16;5,12768197856897e+16;4,697965382501052e+16;4,7357744280753096e+16;5,002482339814396e+16;4,907692680761528e+16;1645557274969207,5;0,28783920805351615;0,2597828557144382;0,26189030443481676;0,2748945339298519;0,24187651790852563;0,2652566840082297;0,015432342776387581;3;0,22373219765949445;0,22311996865688163;0,21767045914896374;0,2216723663491984;0,22689293546051284;0,22261758545501023;0,0030046918232466972;modelo_rf;;;;;;;
8;8;5,7705381393432615;0,0341901921860823;0,03588018417358398;0,0016368392234282095;6;2;6;150;-100577358,79500201;-77687233,88125098;-102659906,87663162;-96426869,73843765;-83600488,56264806;-92190371,57079406;9818632,63269519;105;-75036265,98361069;-73668799,93909177;-72291946,0849354;-73635640,52874652;-77508180,96330011;-74428166,6999369;1767735,6548296977;100577358,79500201;77687233,88125098;102659906,87663162;96426869,73843765;83600488,56264806;92190371,57079406;9818632,63269519;4;75036265,98361069;73668799,93909177;72291946,0849354;73635640,52874652;77508180,96330011;74428166,6999369;1767735,6548296977;0,7445804557834961;0,703553058988817;0,6833798605294001;0,6787527296999849;0,7782883578440645;0,7177108925691525;0,03817958929377407;108;0,843224853660845;0,8413970500792383;0,8490505479814174;0,8510136574764506;0,8404468972868161;0,8450266012969534;0,004229198837192986;8,71924762059181e+16;8,346419983361173e+16;1,184455388907822e+17;1,0848754036197686e+17;8,281872589948968e+16;9,608169623835571e+16;1,461623930510536e+16;1;4,951275667190653e+16;5,1073443187385576e+16;4,705205151322594e+16;4,7119495142408424e+16;4,9819229356306904e+16;4,891539517424667e+16;1582923544457057,0;0,28693001237667254;0,260511459683428;0,2633291639523366;0,27493679872574683;0,24154846216709586;0,26545117938105595;0,015176039744197843;1;0,2231826324956761;0,2226840297967688;0,21753140025380668;0,22160421577029102;0,22632102314118677;0,22226466029154585;0,0028394563165482145;modelo_rf;;;;;;;
9;9;3,8877953052520753;0,028145583529792458;0,02818131446838379;0,001010329869164566;6;3;4;100;-101730384,36930555;-75457723,29095823;-98225766,88309327;-94641845,49047202;-89008980,46962309;-91812940,10069042;9196065,03209419;101;-73465352,68867582;-74290928,10079455;-71760317,83505058;-72625996,53023428;-76721917,73925984;-73772902,57880302;1698559,3088252551;101730384,36930555;75457723,29095823;98225766,88309327;94641845,49047202;89008980,46962309;91812940,10069042;9196065,03209419;6;73465352,68867582;74290928,10079455;71760317,83505058;72625996,53023428;76721917,73925984;73772902,57880302;1698559,3088252551;0,7424294925511854;0,7066623402470683;0,6870690729068748;0,6803509709466068;0,7797225399932584;0,7192468833289988;0,03715215371287066;91;0,8398184228685932;0,8396586391493605;0,8466043309743427;0,8480408328763993;0,838423843754506;0,8425092139246404;0,003985603451474099;8,792674973627126e+16;8,258878627261365e+16;1,1706542848825642e+17;1,0794780266525141e+17;8,228299788291357e+16;9,556235300906128e+16;1,4274023693554882e+16;16;5,058857629558324e+16;5,163324760406133e+16;4,781455529903126e+16;4,805970208976138e+16;5,045091226445708e+16;4,970939871057886e+16;1505717147178374,8;0,2829148763750198;0,25910167087647523;0,2598942517298485;0,27179738796256353;0,24072110883129666;0,26288585915504076;0,014107606666713788;22;0,2213831757033654;0,22130182578904603;0,21519866276923333;0,2192837214574994;0,2245157609963433;0,2203366293430975;0,0030659197761299245;modelo_rf;;;;;;;
