;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_xgb__learning_rate;param_xgb__max_depth;param_xgb__reg_alpha;param_rnn__alpha;param_rnn__hidden_layer_sizes;param_rnn__learning_rate_init;param_rnn__max_iter
0;0;3,2340033531188963;0,04105385007488191;0,028709602355957032;0,0027583792905195655;6;2;4;100;-189949866,34720105;-187659922,3086477;-163374356,5463211;-178481196,2711683;-172280568,15049845;-178349181,92476732;9821982,097405555;94;-171398718,71521384;-173386535,24066103;-165001000,1999756;-169222827,7863018;-170244005,00603694;-169850617,38963786;2791665,9274524576;189949866,34720105;187659922,3086477;163374356,5463211;178481196,2711683;172280568,15049845;178349181,92476732;9821982,097405555;15;171398718,71521384;173386535,24066103;165001000,1999756;169222827,7863018;170244005,00603694;169850617,38963786;2791665,9274524576;0,43671770636604534;0,45320835044284424;0,46144457790566706;0,5311827661702522;0,4443475779690781;0,4653801957707774;0,03393384884835162;88;0,6207846336503018;0,6139553243833668;0,6281410419178419;0,6080865764735632;0,6224758463953846;0,6186886845640917;0,006969821395345853;1,9228747015248982e+17;1,5394838398506883e+17;2,014700874656117e+17;1,5832299066695824e+17;2,0755980690991645e+17;1,8271774783600902e+17;2,2285143928432516e+16;21;1,1976386945735634e+17;1,2431440157796101e+17;1,1591116507784539e+17;1,239493657157176e+17;1,1787901379632573e+17;1,2036356312504123e+17;3311300980971866,5;0,5156023289363807;0,578826601052329;0,4489223812430054;0,4969483967543255;0,5242310929824677;0,5129061601937017;0,04202285600563937;9;0,44440316546282543;0,4490841614601698;0,440625914037098;0,4449998686116937;0,4416024870333655;0,4441431193210305;0,0029678640869862235;modelo_rf;;;;;;;;;;;
1;1;3,882356309890747;0,15643318736120526;0,028603029251098634;0,0005279152322184396;6;2;4;120;-192261167,3440179;-200313817,44643247;-162751162,16451347;-178230046,5484305;-170101244,54792073;-180731487,61026302;13848844,967439393;106;-171504508,5868551;-172224350,35241264;-164461057,64324692;-168615647,47929287;-170490936,97137928;-169459300,20663735;2778014,855553355;192261167,3440179;200313817,44643247;162751162,16451347;178230046,5484305;170101244,54792073;180731487,61026302;13848844,967439393;3;171504508,5868551;172224350,35241264;164461057,64324692;168615647,47929287;170490936,97137928;169459300,20663735;2778014,855553355;0,43643999741308936;0,4508284516726768;0,46072158803624697;0,5282996549647592;0,4417963520645982;0,46361720883027413;0,0333781556643319;103;0,6207704621216001;0,6139678717780703;0,6287085525667924;0,6081648568398743;0,6216264150776003;0,6186476316767875;0,0070198348953857785;1,9238227155598877e+17;1,546184409802919e+17;2,0174055328259738e+17;1,5929663829665446e+17;2,085127982676828e+17;1,8331014047664307e+17;2,2167632012410376e+16;6;1,1976834511225867e+17;1,2431036105632592e+17;1,1573426784548286e+17;1,2392460820252774e+17;1,1814424219316358e+17;1,2037636488195174e+17;3315644166557579,0;0,5150528069486983;0,5813616446267865;0,44927333325858726;0,49607145495545824;0,5257255057914391;0,5134969491161938;0,042862328143187356;3;0,4454771820283904;0,4484765012997064;0,44000759836695585;0,4446422404726611;0,4415516049413572;0,44403102542181416;0,0029853877381245744;modelo_rf;;;;;;;;;;;
2;2;4,59622483253479;0,08404419500476237;0,03362264633178711;0,0011447845935979146;6;2;4;150;-188414570,12649524;-200194798,69362643;-164730867,6298725;-179189983,72460738;-169972064,7726528;-180500456,98945084;12741621,66543253;105;-172130083,12648964;-172138031,9091335;-163345359,91319406;-168521534,52094853;-170294956,67722666;-169285993,22939846;3259340,4402429904;188414570,12649524;200194798,69362643;164730867,6298725;179189983,72460738;169972064,7726528;180500456,98945084;12741621,66543253;4;172130083,12648964;172138031,9091335;163345359,91319406;168521534,52094853;170294956,67722666;169285993,22939846;3259340,4402429904;0,4389862785995039;0,44933836044056163;0,461138707826521;0,527460105508549;0,4445449767011409;0,4642936858152553;0,03241631870431759;102;0,621917724364897;0,6133168957646344;0,6289824447593796;0,6067818649996641;0,6231806555022976;0,6188359170781746;0,007836913676732168;1,915130484805148e+17;1,5503797397308765e+17;2,0158451147671722e+17;1,5958016025602058e+17;2,074860700897628e+17;1,830403528552206e+17;2,1669237832002244e+16;7;1,1940601653137288e+17;1,2451998884985173e+17;1,1564889363986406e+17;1,2436200317573795e+17;1,1765894257268528e+17;1,2031916895390238e+17;3569692412476440,0;0,5146654647854148;0,5840867891485428;0,44934536205744824;0,4974551454185146;0,5214776748886087;0,5134060872597057;0,043406698186252764;6;0,44474008813118204;0,44894963823627865;0,44033648901478656;0,44629145741200893;0,43954077959628424;0,4439716904781081;0,003566493470778955;modelo_rf;;;;;;;;;;;
3;3;3,118043041229248;0,05275281897787232;0,02632598876953125;0,0005464373747036868;6;2;5;100;-189949866,34720105;-191548574,8808924;-163374356,5463211;-177639971,38996473;-172280568,15049845;-178958667,46297556;10663197,815022977;95;-171398718,71521384;-173631725,36661196;-164335786,00651595;-169831679,73030734;-170244005,00603694;-169888382,9649372;3074239,4731166335;189949866,34720105;191548574,8808924;163374356,5463211;177639971,38996473;172280568,15049845;178958667,46297556;10663197,815022977;14;171398718,71521384;173631725,36661196;164335786,00651595;169831679,73030734;170244005,00603694;169888382,9649372;3074239,4731166335;0,43617203355205436;0,45320630697530684;0,462374668325817;0,5319789345298513;0,4421136993161058;0,46516912853982706;0,03460304211631357;92;0,6199077073198676;0,6125435326681289;0,6269102673743623;0,6071186846446044;0,6210014400896395;0,6174963264193205;0,006913009167367987;1,9247374628102992e+17;1,5394895932034573e+17;2,011221466769556e+17;1,5805411881952973e+17;2,0839425557510253e+17;1,8279864533459267e+17;2,2490395812109256e+16;14;1,2004082049858862e+17;1,24769027825434e+17;1,162948065316338e+17;1,242554781657618e+17;1,1833938582708674e+17;1,20739903769701e+17;3304639080424955,0;0,5149968046656455;0,5794666853725301;0,4491393512186706;0,49652840154800043;0,5246901311476097;0,5129642747904912;0,04220890023778211;8;0,4446003986363632;0,4495530442833649;0,441040068875312;0,4451433335666895;0,44207934562516676;0,4444832381973792;0,002959273582949312;modelo_rf;;;;;;;;;;;
4;4;3,875703763961792;0,1072545711842466;0,028945398330688477;0,0007347061286073418;6;2;5;120;-192261167,3440179;-198170761,8908769;-162751162,16451347;-178230046,5484305;-170101244,54792073;-180302876,4991519;13256656,010170633;104;-173160041,85788065;-172137493,6934564;-164461057,64324692;-168736181,82472342;-170490936,97137928;-169797142,39813733;3061604,994816158;192261167,3440179;198170761,8908769;162751162,16451347;178230046,5484305;170101244,54792073;180302876,4991519;13256656,010170633;5;173160041,85788065;172137493,6934564;164461057,64324692;168736181,82472342;170490936,97137928;169797142,39813733;3061604,994816158;0,4361678901772339;0,4509868164815717;0,4619397519488697;0,5291585753932488;0,43915948756852563;0,46348250431389;0,03408684761227769;105;0,6198562347042418;0,6124645423366151;0,6273525010935206;0,607110600229883;0,6202031333617969;0,6173974023452115;0,006973856606213908;1,9247516070337398e+17;1,5457385360148093e+17;2,012848460703867e+17;1,590065746190193e+17;2,0949777928090694e+17;1,8336764285503354e+17;2,240223661704608e+16;4;1,2005707658989046e+17;1,2479446435237715e+17;1,1615695903728078e+17;1,2425803500106454e+17;1,1858865096386426e+17;1,2077103718889544e+17;3313891562597054,5;0,5140635041302117;0,5817009569994179;0,44949674276800067;0,49551502992991825;0,5264205008684495;0,5134393469391997;0,04298484641357024;4;0,44564416923920414;0,44895743138279864;0,44042135118737524;0,44486438635612296;0,44195005093141715;0,4443674778193836;0,0029786037314199106;modelo_rf;;;;;;;;;;;
5;5;4,749941873550415;0,06934716327651522;0,03375463485717774;0,0018785915486794725;6;2;5;150;-191632598,45117018;-199064313,3787778;-164730867,6298725;-180115334,07396606;-169601869,3156122;-181028996,56987974;12920929,135638751;107;-171727729,89747465;-171825316,2148586;-163345359,91319406;-168280774,42330003;-170294956,67722666;-169094827,42521077;3147923,5582220037;191632598,45117018;199064313,3787778;164730867,6298725;180115334,07396606;169601869,3156122;181028996,56987974;12920929,135638751;2;171727729,89747465;171825316,2148586;163345359,91319406;168280774,42330003;170294956,67722666;169094827,42521077;3147923,5582220037;0,43880043757318754;0,4493196241943507;0,46323169915449214;0,5285189292324022;0,44275633141935555;0,46452540431475764;0,033056700083575405;101;0,6207458708650784;0,6119739595457716;0,6276696918098896;0,6056554441167525;0,6216079205002492;0,6175305773675482;0,007767358267948994;1,9157648896356352e+17;1,550432491356262e+17;2,008015370072164e+17;1,592225877811776e+17;2,081542051587341e+17;1,8295961360926355e+17;2,177210148489481e+16;8;1,19776111527592e+17;1,2495244219774114e+17;1,160580883641744e+17;1,2471825316766098e+17;1,1815001698271789e+17;1,2073098244797726e+17;3553256268180562,0;0,5142866443871862;0,5842959217026815;0,44936183746758;0,4970094713645767;0,5220813132304759;0,5134070376305001;0,04352451836283492;5;0,44502689179847305;0,4493886042017123;0,4407232334028172;0,44661790993598444;0,4399571320050219;0,44434275426880177;0,0035620104703588504;modelo_rf;;;;;;;;;;;
6;6;3,175523567199707;0,07030433423073262;0,02723984718322754;0,0006375683243745093;6;2;6;100;-189949866,34720105;-191548574,8808924;-163753384,75452334;-178481196,2711683;-173093736,42020482;-179365351,734798;10433707,666395454;99;-171398718,71521384;-173538569,22140425;-163922701,36594635;-169214165,745346;-170244005,00603694;-169663632,01078948;3210071,7021387643;189949866,34720105;191548574,8808924;163753384,75452334;178481196,2711683;173093736,42020482;179365351,734798;10433707,666395454;10;171398718,71521384;173538569,22140425;163922701,36594635;169214165,745346;170244005,00603694;169663632,01078948;3210071,7021387643;0,43684920944589445;0,4541576785372301;0,4628872809069401;0,5302397904430383;0,4415212145780192;0,46513103478222445;0,033828639632304286;96;0,6183083876170222;0,6113445620261566;0,6259973465912974;0,6057021484957947;0,6196124324016229;0,6161929754263789;0,00701224515926642;1,922425789943135e+17;1,5368110205762774e+17;2,009303816378938e+17;1,5864144043050314e+17;2,0861557381823165e+17;1,82822215387714e+17;2,2431498559829024e+16;13;1,2054591795272378e+17;1,2515512126818971e+17;1,1657937063662291e+17;1,2470348210392363e+17;1,1877309279617886e+17;1,2115139695152778e+17;3333870946249309,0;0,5153809551484713;0,5790085857719375;0,44914550696512684;0,4968389517627837;0,5254996089637228;0,5131747217224085;0,04208910949340964;7;0,44518962499158027;0,44993589235460807;0,4413187283835988;0,4455923082255538;0,44269450960760015;0,44494621271258816;0,0029530459295277586;modelo_rf;;;;;;;;;;;
7;7;3,8923261642456053;0,05992946975702825;0,029594898223876953;0,0007317109463645491;6;2;6;120;-192261167,3440179;-196722320,41437522;-162751162,16451347;-178931758,5466922;-170101244,54792073;-180153530,60350388;12856930,212344822;103;-173119972,15187177;-172137493,6934564;-163781542,57529315;-168905785,39317504;-170809494,53109384;-169750857,66897804;3301955,3527277643;192261167,3440179;196722320,41437522;162751162,16451347;178931758,5466922;170101244,54792073;180153530,60350388;12856930,212344822;6;173119972,15187177;172137493,6934564;163781542,57529315;168905785,39317504;170809494,53109384;169750857,66897804;3301955,3527277643;0,4369024476611476;0,45174856226356364;0,46185706395774073;0,5279852172139784;0,43915913276262086;0,46353048477181025;0,03346353755515223;104;0,6182724978889194;0,6112896052704926;0,6263713878891439;0,6056190062218911;0,6189326606739658;0,6160970315888826;0,007088528856025779;1,9222440508428266e+17;1,5435938519794902e+17;2,0131577911111318e+17;1,5940282621273328e+17;2,094979118159993e+17;1,833600614844155e+17;2,235692264081815e+16;5;1,2055725265351067e+17;1,2517281848466373e+17;1,1646277922023152e+17;1,2472977727907173e+17;1,1898534629068445e+17;1,2118159478563242e+17;3346640001919290,0;0,5145302556148965;0,5814366617535749;0,44967016973218693;0,4957581522404601;0,5265722119827277;0,5135934902647692;0,04283995997842558;2;0,44630925510226277;0,44936931240894773;0,4406995718447119;0,44542176644896353;0,44249774258060004;0,44485952967709713;0,0030212329185586298;modelo_rf;;;;;;;;;;;
8;8;4,867011022567749;0,07927887129166361;0,03331432342529297;0,0003771748343702857;6;2;6;150;-190644705,8985026;-197644369,73731714;-164730867,6298725;-182358069,36597654;-169972064,7726528;-181070015,48086435;12314018,52232995;108;-171593618,82030106;-172138031,9091335;-163409038,36939472;-168061185,02397677;-170294956,67722666;-169099366,16000655;3173070,2163358275;190644705,8985026;197644369,73731714;164730867,6298725;182358069,36597654;169972064,7726528;181070015,48086435;12314018,52232995;1;171593618,82030106;172138031,9091335;163409038,36939472;168061185,02397677;170294956,67722666;169099366,16000655;3173070,2163358275;0,43946375245940594;0,44977021114729987;0,4632157585457136;0,527689729570812;0,44275043987924145;0,4645779783204945;0,03259258974754366;100;0,6191251579435212;0,6106734172409236;0,6266956417191262;0,6041436235105848;0,6202152319291075;0,6161706144686525;0,007883300641679377;1,913500534039393e+17;1,5491638704234538e+17;2,008075002854847e+17;1,5950261453960234e+17;2,08156405899485e+17;1,8294659223417133e+17;2,1727758256794096e+16;12;1,202879653921483e+17;1,2537124382502885e+17;1,1636170692279906e+17;1,2519639245547694e+17;1,1858487327925968e+17;1,2116043637494256e+17;3590052258567713,5;0,5146789042632401;0,5841946882351561;0,4497341117415255;0,4971669193834037;0,522299737802147;0,5136148722850946;0,04338053986507179;1;0,44575345020106355;0,44980126536259274;0,44088765976132116;0,44716907477222134;0,4405214556302612;0,44482658114549195;0,0036095166731817327;modelo_rf;;;;;;;;;;;
9;9;3,3568451404571533;0,17118420178132968;0,02680096626281738;0,001037355709880914;6;3;4;100;-184568148,72934178;-188059798,5553652;-166642375,04097554;-177539136,04614326;-169106892,04120392;-177183270,08260593;8358233,011541032;82;-170873744,62640786;-170683200,89812315;-162263131,55303106;-166825888,0580715;-173479341,27494395;-168825061,28211552;3908138,2748970864;184568148,72934178;188059798,5553652;166642375,04097554;177539136,04614326;169106892,04120392;177183270,08260593;8358233,011541032;25;170873744,62640786;170683200,89812315;162263131,55303106;166825888,0580715;173479341,27494395;168825061,28211552;3908138,2748970864;0,4319207520804157;0,4551003995353382;0,46850207219602324;0,5316099634604522;0,4423207695093856;0,46589079135632294;0,035076403531713755;85;0,6141400175410434;0,6075426731780853;0,6197444255634379;0,6001940365515155;0,6148599456606636;0,6112962196989491;0,006775058573165678;1,939250046790416e+17;1,5341568034841715e+17;1,9882992466409955e+17;1,581787230340541e+17;2,0831690605293747e+17;1,8253324775570998e+17;2,2365716824554892e+16;22;1,218623733865711e+17;1,2637940842163629e+17;1,1852845199052379e+17;1,2644551731068285e+17;1,2025702023434517e+17;1,2269455426875184e+17;3213670152712533,5;0,5170386683195406;0,578868711617341;0,4460445795914173;0,4957060512691978;0,5236165145597454;0,5122549050714484;0,04300474751897023;13;0,4447538615736431;0,4485219850051921;0,4406027517878022;0,4439404978933313;0,44167352820404365;0,44389852489280246;0,0027539962456711252;modelo_rf;;;;;;;;;;;
