;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_xgb__learning_rate;param_xgb__max_depth;param_xgb__reg_alpha
0;0;0,6847598075866699;0,00884032583155613;0,01980109214782715;0,0015476492564383314;6;2;4;100;-87832331,77656513;-75585055,43955153;-89985743,9274441;-88266635,1731959;-76830277,82103878;-83700008,82755908;6172297,910388877;97;-77289991,10803553;-75659737,55343604;-74126198,96389225;-72330976,05412018;-76483966,96440417;-75178174,12877764;1766915,834967416;87832331,77656513;75585055,43955153;89985743,9274441;88266635,1731959;76830277,82103878;83700008,82755908;6172297,910388877;12;77289991,10803553;75659737,55343604;74126198,96389225;72330976,05412018;76483966,96440417;75178174,12877764;1766915,834967416;0,7355352267202613;0,6873388911859382;0,7110201877248388;0,6756634636043944;0,7786355451706674;0,71763866288122;0,03678234462018056;95;0,8373107511208464;0,8360282227863434;0,840511249420891;0,8429789064183462;0,8343893178984303;0,8382436895289714;0,003104801265144936;9,028024273644117e+16;8,802927490916848e+16;1,0810547190939781e+17;1,0953080799790498e+17;8,268903667001078e+16;9,572696684458466e+16;1,0978909837552826e+16;16;5,138054966609822e+16;5,280231705677796e+16;4,971381351622574e+16;4,966062345685761e+16;5,171066193744902e+16;5,105359312668171e+16;1210954110615681,2;0,27229650850471593;0,25721540709523955;0,25498970564761475;0,26989225522798993;0,2405217978646516;0,25898313486804236;0,01145554998232355;18;0,2235589704208198;0,22387783236636435;0,21799415166109654;0,22170541635396124;0,2258593779701042;0,2225991497544692;0,002652928185333656;modelo_rf;;;;;;;
1;1;0,8091051578521729;0,005526988951146339;0,021742486953735353;0,0005970067604293053;6;2;4;120;-89209298,05578354;-76552868,5787065;-92789694,49912202;-88022343,10316253;-75786326,7986483;-84472106,20708457;6962535,919795694;107;-76648187,09992693;-75532744,53103551;-74447721,158312;-73089476,94824022;-75136274,343063;-74970880,81611553;1180659,0332710217;89209298,05578354;76552868,5787065;92789694,49912202;88022343,10316253;75786326,7986483;84472106,20708457;6962535,919795694;2;76648187,09992693;75532744,53103551;74447721,158312;73089476,94824022;75136274,343063;74970880,81611553;1180659,0332710217;0,7374765754037416;0,6886980639287958;0,7088334948213033;0,6774939411471177;0,7772643070639024;0,7179532764729722;0,035985978503543355;90;0,837517133845346;0,8363791363717588;0,8402811880715482;0,8428666339961371;0,8336012903613481;0,8381290765292277;0,0031941711547122504;8,961752524780506e+16;8,764660182429427e+16;1,0892349953006955e+17;1,0891264241438914e+17;8,320125241025246e+16;9,56603042853621e+16;1,102269833791373e+16;21;5,131536983461318e+16;5,268931559572474e+16;4,978552532647564e+16;4,969613154278881e+16;5,195671747595872e+16;5,1088611955112216e+16;1183580579153437,8;0,27270751136887483;0,25691931564551784;0,25530491248598575;0,2697228816074891;0,2405125282348267;0,25903342986853883;0,011512080624307659;13;0,22407526774148864;0,22383958429995582;0,21860221927939788;0,2220224952095506;0,22578430687079948;0,2228647746802385;0,0024420494962112357;modelo_rf;;;;;;;
2;2;1,0217790603637695;0,008500725722689204;0,02583737373352051;0,001120692534248546;6;2;4;150;-88005570,28718673;-76042595,84017056;-91088355,7315582;-85508446,18444607;-76196542,561997;-83368302,12107171;6177115,9628496505;95;-77112682,62459427;-74667976,38212073;-74613124,79399791;-74908893,12768608;-75933647,22766876;-75447264,83121355;959490,3273952574;88005570,28718673;76042595,84017056;91088355,7315582;85508446,18444607;76196542,561997;83368302,12107171;6177115,9628496505;14;77112682,62459427;74667976,38212073;74613124,79399791;74908893,12768608;75933647,22766876;75447264,83121355;959490,3273952574;0,7369171920015228;0,6902999488239089;0,7085925642243889;0,6761771344768026;0,7760426290815676;0,7176058937216381;0,035583634184078124;96;0,8376989799525414;0,8366887826599497;0,8398925316007666;0,842993378886241;0,8338752229769566;0,838229779215291;0,0030683938989056274;8,980848175482394e+16;8,719559349025613e+16;1,0901363010241574e+17;1,093573376071648e+17;8,365760108446987e+16;9,58065288078261e+16;1,1097505702116326e+16;13;5,125793916229332e+16;5,258960306127311e+16;4,990667239948327e+16;4,965604628978899e+16;5,187118412328111e+16;5,105628900722396e+16;1125883371942299,6;0,2723466397632905;0,2565665181681778;0,25462843849681555;0,27063485259345266;0,240908540245637;0,25901699785347476;0,011539795865204676;14;0,22404088618584406;0,2234847102484539;0,2185160749324334;0,22242670430206463;0,22542160125413255;0,22277799538458573;0,0023396735854965133;modelo_rf;;;;;;;
3;3;0,7060033798217773;0,012793060893728385;0,02311735153198242;0,005914417835073991;6;2;5;100;-89084844,9290446;-75585055,43955153;-91916943,95116764;-88266635,1731959;-76830277,82103878;-84336751,4627997;6758506,129610802;105;-77257702,25372337;-75257869,48141038;-74126198,96389225;-72303536,94156647;-76535752,98144692;-75096212,12440787;1761272,8787849916;89084844,9290446;75585055,43955153;91916943,95116764;88266635,1731959;76830277,82103878;84336751,4627997;6758506,129610802;4;77257702,25372337;75257869,48141038;74126198,96389225;72303536,94156647;76535752,98144692;75096212,12440787;1761272,8787849916;0,7351757849528019;0,6885180138930362;0,7118230150248492;0,6751307239686564;0,7783476682226147;0,7177990412123917;0,036556160088625465;92;0,8362181002764162;0,8350563199306797;0,8396948911919323;0,8421186644462895;0,8334135224375342;0,8373002996565704;0,003170625980057081;9,040294524087461e+16;8,769729464680554e+16;1,078051394278792e+17;1,097107180487533e+17;8,279657095112347e+16;9,568253366308722e+16;1,096753079554411e+16;17;5,172563086455933e+16;5,3115289957390424e+16;4,996827836474655e+16;4,993268978681141e+16;5,201534656623129e+16;5,13514471079478e+16;1234337529235656,8;0,27246061145731054;0,2572267746389069;0,2549497579967979;0,2700387924896402;0,24062920287333897;0,2590610278911989;0,01148964189129634;11;0,22387131802715;0,2242084649134721;0,21827224518292826;0,22198419680210055;0,2260700082267659;0,2228812466304834;0,002644146100248245;modelo_rf;;;;;;;
4;4;0,8394598007202149;0,011404165844267386;0,026368141174316406;0,00656415015376057;6;2;5;120;-89060675,32456164;-76552868,5787065;-93645571,79106039;-88022343,10316253;-75786326,7986483;-84613557,11922787;7153581,845880148;108;-76943125,88053869;-75475848,40286916;-74524056,07970712;-73089476,94824022;-75436912,81696334;-75093884,0256637;1266934,2993979105;89060675,32456164;76552868,5787065;93645571,79106039;88022343,10316253;75786326,7986483;84613557,11922787;7153581,845880148;1;76943125,88053869;75475848,40286916;74524056,07970712;73089476,94824022;75436912,81696334;75093884,0256637;1266934,2993979105;0,7370837808779619;0,6901862859023212;0,7094520717942212;0,677177307059647;0,7770215196979176;0,7181841930664138;0,035667135775226115;82;0,8364763324525409;0,8354821014997599;0,8394911410130118;0,8420572689748052;0,8326811024849382;0,8372375892850112;0,0032474799149917934;8,975161337112354e+16;8,722759511850267e+16;1,0869209389988699e+17;1,090195720493472e+17;8,329194381517749e+16;9,559656365080758e+16;1,1020678875077422e+16;27;5,16440759293551e+16;5,297817945099999e+16;5,0031788790165096e+16;4,995210716139331e+16;5,224403906410836e+16;5,137003807920437e+16;1202208998794113,0;0,27284276217778786;0,25685435710991095;0,2553299222451252;0,26980086760557503;0,24064150157584593;0,25909388214284895;0,011518198253099386;10;0,22437165699065095;0,22416002978318592;0,2188291316593365;0,22231289921330655;0,22595591327774167;0,2231259261848443;0,0024394056033995672;modelo_rf;;;;;;;
5;5;1,027327537536621;0,011457060607198637;0,025896453857421876;0,0008581000794175412;6;2;5;150;-87748347,25605558;-76042595,84017056;-91375787,99283168;-85508446,18444607;-76814337,2645649;-83497902,90761375;6073241,111925775;96;-77010506,48086157;-74572081,15626884;-74658070,72918129;-74908893,12768608;-75758562,83720565;-75381622,8662407;916264,6400066685;87748347,25605558;76042595,84017056;91375787,99283168;85508446,18444607;76814337,2645649;83497902,90761375;6073241,111925775;13;77010506,48086157;74572081,15626884;74658070,72918129;74908893,12768608;75758562,83720565;75381622,8662407;916264,6400066685;0,7363933078225842;0,6912868473675002;0,7091521640281024;0,6761625724199907;0,7757496215991043;0,7177489026474564;0,03525695502892772;93;0,8367098032586038;0,8358000001240817;0,8391657743751592;0,8422226037376219;0,8330705122795483;0,8373937387550029;0,00310342085462038;8,998731990500107e+16;8,691773365814978e+16;1,0880428744839237e+17;1,0936225531969406e+17;8,376705183834395e+16;9,576772963391626e+16;1,1050020825589544e+16;15;5,157034113477498e+16;5,287580949295846e+16;5,013320795797395e+16;4,989981719694786e+16;5,2122448850308824e+16;5,132032492659282e+16;1144773517925445,2;0,2726707732259493;0,2566246442648597;0,2546812505992861;0,2706849095516559;0,241046413585843;0,2591415982455188;0,011575422911455763;5;0,22429336727248095;0,22381214939533436;0,21868674410044583;0,22268663468170308;0,22557683301014592;0,22301114569202202;0,002352624366512484;modelo_rf;;;;;;;
6;6;0,692336130142212;0,008449233624888506;0,020926523208618163;0,003266117121428912;6;2;6;100;-88723304,01627508;-75305888,77288485;-93008815,26606315;-88266635,1731959;-76830277,82103878;-84426984,20989154;7039224,923311085;106;-77195892,82521929;-76222909,38184565;-74050708,59299484;-72330976,05412018;-76559024,95234817;-75271902,36130562;1811253,7087208803;88723304,01627508;75305888,77288485;93008815,26606315;88266635,1731959;76830277,82103878;84426984,20989154;7039224,923311085;3;77195892,82521929;76222909,38184565;74050708,59299484;72330976,05412018;76559024,95234817;75271902,36130562;1811253,7087208803;0,7356351937596427;0,6887636429256578;0,7116421414680345;0,6752498691629474;0,7783086415024771;0,7179198977637519;0,03652632158772419;91;0,8354334528558292;0,8340485064754841;0,8386737352086842;0,8413705415608439;0,8326197843243267;0,8364292040850335;0,003182001148545496;9,024611702484232e+16;8,762813815426853e+16;1,07872803051374e+17;1,0967048184981998e+17;8,281114909057702e+16;9,564573783417637e+16;1,0994171603709978e+16;22;5,197343836285192e+16;5,343982681671826e+16;5,028658017561311e+16;5,0169296525855976e+16;5,226318518822169e+16;5,162646541385219e+16;1243600860051987,5;0,27226925001178803;0,2570367118436245;0,25529930690892144;0,27002414556043075;0,2405494257439324;0,25903576801373945;0,011450517058865533;12;0,22409085096571812;0,22445184308836885;0,21866615092630073;0,22229086003030743;0,226377852740953;0,22317551155032964;0,002601491844728342;modelo_rf;;;;;;;
7;7;0,8136973857879639;0,005445921802748178;0,021827554702758788;0,0010821072045643107;6;2;6;120;-89060675,32456164;-76320229,6898176;-92789694,49912202;-87516426,64420778;-75786326,7986483;-84294670,59127147;6946129,370542678;104;-76548533,86834055;-75250229,57088515;-74248374,40392482;-73089476,94824022;-75268816,07768247;-74881086,17381465;1155609,8771518325;89060675,32456164;76320229,6898176;92789694,49912202;87516426,64420778;75786326,7986483;84294670,59127147;6946129,370542678;5;76548533,86834055;75250229,57088515;74248374,40392482;73089476,94824022;75268816,07768247;74881086,17381465;1155609,8771518325;0,737526108610389;0,6901387439841838;0,7091654710713668;0,6771539425675959;0,7768077146558777;0,7181583961778826;0,035671248000895536;83;0,8356429478207863;0,8345074571928219;0,8385182315647377;0,8413357564209453;0,8318117996195593;0,83636323852377;0,0032878037772412854;8,960061611520413e+16;8,724098047556643e+16;1,0879930936988752e+17;1,0902746240829739e+17;8,33718090897316e+16;9,56080354917374e+16;1,1044570241232418e+16;23;5,190727562299091e+16;5,329203515584768e+16;5,0335051802158424e+16;5,018029792506292e+16;5,251547219887013e+16;5,164602654098601e+16;1216597413809569,0;0,27272717609586933;0,2568503591077125;0,25559174800309997;0,26991060504643166;0,24047531918521403;0,2591110414876655;0,011548298159609307;6;0,22463676254779225;0,22441075263436264;0,21915126839788804;0,22262459705264065;0,22630914951524983;0,22342650602958666;0,00243572619557729;modelo_rf;;;;;;;
8;8;1,0265810012817382;0,009068757756605914;0,02770094871520996;0,0022995605779824986;6;2;6;150;-88005570,28718673;-75856484,72905946;-90551342,94251159;-85508446,18444607;-76814337,2645649;-83347236,28155375;5950801,376658828;94;-77112682,62459427;-75428829,82698789;-74127644,17114055;-74908893,12768608;-75758562,83720565;-75467322,51752289;989958,9838144518;88005570,28718673;75856484,72905946;90551342,94251159;85508446,18444607;76814337,2645649;83347236,28155375;5950801,376658828;15;77112682,62459427;75428829,82698789;74127644,17114055;74908893,12768608;75758562,83720565;75467322,51752289;989958,9838144518;0,7370759128223718;0,6910539908683218;0,7087466993475562;0,6762126290618669;0,775646307449624;0,7177471079099481;0,035339956965303156;94;0,8358573662891862;0,834892171250889;0,8382461821102525;0,8415362645597939;0,8322054032123711;0,8365474774844985;0,0031573246605879745;8,975429928637693e+16;8,698329406269874e+16;1,0895596915338048e+17;1,0934535082755362e+17;8,380564406626734e+16;9,576891147925541e+16;1,1087836541852602e+16;14;5,183955794133185e+16;5,316814924075033e+16;5,04198516127931e+16;5,0116883775051144e+16;5,239257250383251e+16;5,1587403014751784e+16;1160710278639694,5;0,27243126334755574;0,2566321311649976;0,25498117137330156;0,27077405045474917;0,24090959251517743;0,2591456417711563;0,011558041970094385;4;0,22456172230169552;0,2240654674451734;0,21897331027195813;0,2229807036499997;0,22591534253112944;0,22329930923999122;0,002359664887541037;modelo_rf;;;;;;;
9;9;0,6888102054595947;0,010633583424893636;0,020218086242675782;0,001604489034540887;6;3;4;100;-87610353,87653199;-74454296,06665352;-86399320,34478903;-88249014,56960392;-74953377,56371641;-82333272,48425898;6259671,813642458;82;-75608790,39736724;-75272370,89843628;-72800650,8664591;-72230790,23492771;-75055354,7715448;-74193591,43374702;1392986,8097381429;87610353,87653199;74454296,06665352;86399320,34478903;88249014,56960392;74953377,56371641;82333272,48425898;6259671,813642458;25;75608790,39736724;75272370,89843628;72800650,8664591;72230790,23492771;75055354,7715448;74193591,43374702;1392986,8097381429;0,7348304007361967;0,6908058694884986;0,7113551820820785;0,6738880943299161;0,7795461974057974;0,7180851488084975;0,036880062672782134;84;0,8329762200707482;0,8313530107676435;0,8353083895736159;0,8386073524198813;0,8292926306098125;0,8335075206883402;0,0032230700938916195;9,052084892432462e+16;8,70531522719213e+16;1,0798015269491266e+17;1,1013036311830338e+17;8,234886933771546e+16;9,560667726943549e+16;1,1303435369257476e+16;24;5,274948209054038e+16;5,4307832405296696e+16;5,133558309721068e+16;5,10432026510739e+16;5,330206334971404e+16;5,2547632718767144e+16;1219884076127692,5;0,2708511923504662;0,25689984459139026;0,2560787139438693;0,26904441312470617;0,23993500926847347;0,2585618346557811;0,01110675008594678;25;0,2232581095472204;0,22377829726281503;0,21734350270750588;0,22146494052084895;0,22555746663054368;0,2222804633337868;0,0027920138570005286;modelo_rf;;;;;;;
