;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_xgb__learning_rate;param_xgb__max_depth;param_xgb__reg_alpha
0;0;0,6117272853851319;0,007598921289036954;0,02576003074645996;0,004373539363861262;6;2;4;100;-88458728,91943379;-79130443,28893825;-93630266,5668262;-88444991,72592145;-81477893,8512418;-86228464,87047231;5246400,151758167;99;-78030288,03723902;-78387466,2462616;-76022818,55243328;-76037110,15241662;-78794097,91133262;-77454356,17993662;1187870,8758493797;88458728,91943379;79130443,28893825;93630266,5668262;88444991,72592145;81477893,8512418;86228464,87047231;5246400,151758167;8;78030288,03723902;78387466,2462616;76022818,55243328;76037110,15241662;78794097,91133262;77454356,17993662;1187870,8758493797;0,7364672172014488;0,6897273339113414;0,7025174391475439;0,6733300500444055;0,7745649038381455;0,715321388828577;0,03616409665868035;80;0,8307503794594818;0,830062910435326;0,8340518107783483;0,8380702643893219;0,8301715549917617;0,832621384010848;0,0030914244421215873;8,996208948742352e+16;8,735681237592661e+16;1,1128629495803406e+17;1,1031881873347968e+17;8,420959429826629e+16;9,662672197062603e+16;1,1721008519732688e+16;29;5,3452447497682584e+16;5,472327150060708e+16;5,172726792557346e+16;5,121306598497642e+16;5,30276259703928e+16;5,282873577584646e+16;1252314619586611,5;0,272056218359152;0,2596515676728615;0,254809005315;0,27066345061492714;0,2421887993862167;0,2598738082696314;0,01098443131515878;26;0,22635712732100496;0,2267432958644273;0,2216162325931416;0,22454398002819148;0,22799277044889255;0,2254506812511316;0,0022126824500551287;modelo_rf;;;;;;;
1;1;0,734099292755127;0,0076641886050052375;0,02510514259338379;0,0010416635426083144;6;2;4;120;-88332734,78289427;-79199951,86408284;-92090125,48255193;-88170207,77870634;-80940975,68039274;-85746799,11772564;4873497,923392523;91;-78535954,70780894;-78443156,04697952;-76484871,22435291;-75785370,65571243;-78739853,43503982;-77597841,21397872;1218405,3290789742;88332734,78289427;79199951,86408284;92090125,48255193;88170207,77870634;80940975,68039274;85746799,11772564;4873497,923392523;18;78535954,70780894;78443156,04697952;76484871,22435291;75785370,65571243;78739853,43503982;77597841,21397872;1218405,3290789742;0,7394620275939949;0,6901846809669987;0,6997652107414873;0,6724730037893356;0,7741071835584162;0,7151984213300466;0,03673771184017694;81;0,8305909952750407;0,8305368579239316;0,833814424257935;0,8379379521723904;0,8293519513548887;0,8324464361968372;0,0031206770315667567;8,893975216122434e+16;8,722804698568005e+16;1,1231588573912258e+17;1,106082494891158e+17;8,43805722857861e+16;9,669450133218578e+16;1,2157325196954568e+16;28;5,3502784241266376e+16;5,457065056798764e+16;5,1801263045381256e+16;5,125491200090899e+16;5,328354090324146e+16;5,2882630151757144e+16;1201129022907531,2;0,2721502502429061;0,2595188168129692;0,2556512976206467;0,27139566758441525;0,24208287097897924;0,2601597806479833;0,011113311238168052;20;0,22691190342630896;0,22661394021796388;0,2220654041371718;0,22479247045214798;0,22797734027846328;0,2256722117024112;0,0020746234067666566;modelo_rf;;;;;;;
2;2;0,9057242393493652;0,012055514364257778;0,029113054275512695;0,0017342236198154622;6;2;4;150;-88102798,27091844;-78863595,71136874;-94141796,688627;-85517295,64128464;-80854247,90824142;-85495946,84408805;5423657,4417222645;89;-78994384,61283588;-78278611,53053331;-76771999,1317851;-75956966,8398439;-79154282,63471586;-77831248,94994281;1260030,1254616436;88102798,27091844;78863595,71136874;94141796,688627;85517295,64128464;80854247,90824142;85495946,84408805;5423657,4417222645;20;78994384,61283588;78278611,53053331;76771999,1317851;75956966,8398439;79154282,63471586;77831248,94994281;1260030,1254616436;0,7389751135610458;0,6899134436823549;0,7001753319560404;0,6707924341695553;0,772461324549218;0,7144635295836429;0,03654746462840496;90;0,8308908302788736;0,830906421224617;0,8338563104070574;0,838569439002715;0,8294561512433578;0,8327358304313242;0,0032494160559808534;8,910596982621339e+16;8,73044134438753e+16;1,1216246205498962e+17;1,1117579007642342e+17;8,499537061043214e+16;9,694880120238678e+16;1,2093563669227324e+16;16;5,34080902930663e+16;5,4451643511365256e+16;5,178820682543581e+16;5,1055193421809944e+16;5,325100528936574e+16;5,2790827868208616e+16;1213981931296695,8;0,2722496204804991;0,259620011998752;0,2551780994275792;0,2722837574985495;0,2422764160789885;0,26032158109687364;0,011295551081790067;16;0,22690871462116738;0,22631711550126055;0,221892453917406;0,22484420146238238;0,2273742535996369;0,22546734782037064;0,0019801066040923583;modelo_rf;;;;;;;
3;3;0,6075380802154541;0,00771475633368167;0,02059769630432129;0,00013913157184142222;6;2;5;100;-88458728,91943379;-79130443,28893825;-93630266,5668262;-88444991,72592145;-81477893,8512418;-86228464,87047231;5246400,151758167;99;-78096951,6220445;-78423305,04179895;-76173627,83933762;-75545595,38685115;-78794097,91133262;-77406715,56027296;1297611,9150493466;88458728,91943379;79130443,28893825;93630266,5668262;88444991,72592145;81477893,8512418;86228464,87047231;5246400,151758167;8;78096951,6220445;78423305,04179895;76173627,83933762;75545595,38685115;78794097,91133262;77406715,56027296;1297611,9150493466;0,7366726929947209;0,6907035355811604;0,7037072879725211;0,6733726899779917;0,7746594562855502;0,7158231325623889;0,03598956814888024;78;0,8299443745075972;0,8292789117625265;0,8331879170363684;0,8369624469617941;0,8291730783159011;0,8317093457168374;0,003007857401589091;8,989194629117464e+16;8,70819642328837e+16;1,1084118023630907e+17;1,1030441891768779e+17;8,417427493863051e+16;9,645875692333715e+16;1,1666295016725146e+16;34;5,370700013559041e+16;5,497573535259855e+16;5,199654994220901e+16;5,156343231393583e+16;5,333939263412882e+16;5,311642207569252e+16;1226493780817106,5;0,2719616661063956;0,25987605248562345;0,25493892171618565;0,2707703806007195;0,2419893401652515;0,25990727221483517;0,01103678672602475;25;0,22660231924141988;0,2270173849123469;0,22192736021879236;0,22490571014987942;0,22822762280462472;0,2257360794654127;0,0021815480150025306;modelo_rf;;;;;;;
4;4;0,7113484382629395;0,0038214065814701336;0,026159906387329103;0,005727647403143494;6;2;5;120;-88332734,78289427;-79199951,86408284;-92253128,21120739;-88170207,77870634;-80940975,68039274;-85779399,66345672;4916179,918811618;92;-78535954,70780894;-78447613,3301487;-76595844,06591313;-75785370,65571243;-78739853,43503982;-77620927,2389246;1199395,220630294;88332734,78289427;79199951,86408284;92253128,21120739;88170207,77870634;80940975,68039274;85779399,66345672;4916179,918811618;17;78535954,70780894;78447613,3301487;76595844,06591313;75785370,65571243;78739853,43503982;77620927,2389246;1199395,220630294;0,7396445192857486;0,6909959893682894;0,7004618502149659;0,6724959739212254;0,7743736984170527;0,7155944062414564;0,03667414445935955;79;0,8298083446455162;0,8298014119182529;0,8329255040237152;0,8368516563662319;0,8283716518152708;0,8315517137537973;0,0030394860650085342;8,88774550392879e+16;8,699962429964714e+16;1,1205527743420957e+17;1,1060049230846122e+17;8,428101765342251e+16;9,656277334700566e+16;1,2152651534892594e+16;30;5,37499611126241e+16;5,480747945299379e+16;5,207834600323466e+16;5,159847174668513e+16;5,358963189596814e+16;5,316477804230116e+16;1170902039852732,2;0,2720789875390679;0,2596897793792793;0,25574625140962237;0,27150062793541935;0,2418017349097395;0,26016347623462566;0,011201787595562797;19;0,2271608261147682;0,22688020753131008;0,2223628270156971;0,22514828271660847;0,22820349307519314;0,2259511272907154;0,002045491199655163;modelo_rf;;;;;;;
5;5;0,9007141590118408;0,00848133844250228;0,0279022216796875;0,0007166436652897339;6;2;5;150;-88102798,27091844;-78863595,71136874;-93391740,68010461;-85517295,64128464;-80854247,90824142;-85345935,64238358;5187689,739934825;85;-78370159,72634465;-78128897,9510938;-76568296,15759729;-76040871,80116385;-79154282,63471586;-77652501,65418309;1163630,9548743106;88102798,27091844;78863595,71136874;93391740,68010461;85517295,64128464;80854247,90824142;85345935,64238358;5187689,739934825;24;78370159,72634465;78128897,9510938;76568296,15759729;76040871,80116385;79154282,63471586;77652501,65418309;1163630,9548743106;0,7390335660698752;0,6906255909128141;0,7009426074468976;0,6708837086812665;0,7727383492973985;0,7148447644816504;0,03646691116821808;89;0,8300810238843388;0,8301819022960653;0,8329437355864379;0,8375510422231305;0,8285338517850309;0,8318583111550006;0,003181397806554996;8,908601591469534e+16;8,710390943951197e+16;1,118754292744968e+17;1,1114496600976584e+17;8,489189008742562e+16;9,68204421451791e+16;1,2069526358069446e+16;20;5,3663843503318216e+16;5,4684953650641096e+16;5,207266309139283e+16;5,137727893176927e+16;5,353898620273092e+16;5,306754507597046e+16;1186644753019752,5;0,2723291206366993;0,2597164814534758;0,2551070822134333;0,2724013377246317;0,24203577799732176;0,26031796000511237;0,011419537640414652;17;0,22710218056345988;0,22658054267643046;0,2222102269973442;0,22517369535794407;0,2276127809020588;0,22573588529944746;0,0019416111829907482;modelo_rf;;;;;;;
6;6;0,6062654972076416;0,00772420609263785;0,02068781852722168;0,0004109165341273405;6;2;6;100;-88458728,91943379;-79130443,28893825;-93630266,5668262;-88444991,72592145;-81477893,8512418;-86228464,87047231;5246400,151758167;99;-78096951,6220445;-78389397,09041348;-76399324,28133251;-75545595,38685115;-78807183,96920541;-77447690,46996942;1254879,3844626462;88458728,91943379;79130443,28893825;93630266,5668262;88444991,72592145;81477893,8512418;86228464,87047231;5246400,151758167;8;78096951,6220445;78389397,09041348;76399324,28133251;75545595,38685115;78807183,96920541;77447690,46996942;1254879,3844626462;0,7375206099299824;0,6909483891274426;0,7041353192524378;0,67390010499913;0,774762771256152;0,716253438913029;0,035935035262773855;65;0,8290310091726223;0,8283111426895919;0,832143578536236;0,8363031434535791;0,8281542089928158;0,8307886165689691;0,0031116906193839355;8,960249319771947e+16;8,701302607738386e+16;1,1068105651298365e+17;1,1012630702792818e+17;8,413568240398334e+16;9,631171304399971e+16;1,163663156644459e+16;44;5,399545935019916e+16;5,528737708933629e+16;5,232207791364825e+16;5,177194839619216e+16;5,3657526745141016e+16;5,340687789890338e+16;1248624496075070,5;0,27179554063859895;0,2596727944224394;0,25497447390287237;0,2706938314493768;0,24168213389669693;0,2597637548619969;0,011082607507439814;27;0,22694646407051366;0,2273018341734632;0,22237609427917074;0,22516021190627644;0,22865926428146782;0,22608877374217834;0,002166138767483635;modelo_rf;;;;;;;
7;7;0,72822265625;0,006377149334504751;0,02372088432312012;0,00036715422652778754;6;2;6;120;-88332734,78289427;-79199951,86408284;-94980456,90319288;-88170207,77870634;-80940975,68039274;-86324865,40185383;5693974,949554077;102;-78261617,97522724;-78621405,91227555;-76675994,26373988;-75772443,60657123;-78937437,33616285;-77653779,81879535;1220576,4734905637;88332734,78289427;79199951,86408284;94980456,90319288;88170207,77870634;80940975,68039274;86324865,40185383;5693974,949554077;7;78261617,97522724;78621405,91227555;76675994,26373988;75772443,60657123;78937437,33616285;77653779,81879535;1220576,4734905637;0,7404016022504459;0,6910468275195032;0,7006978077590149;0,6729978472784623;0,774364728656393;0,715901762692764;0,03662740649729005;74;0,8288844207185839;0,8288274518588786;0,8319670695864805;0,8361784274208829;0,8273097431276903;0,8306334225425033;0,00315889461305055;8,861900990507637e+16;8,698531089301322e+16;1,1196700724865866e+17;1,1043100602442525e+17;8,42843682404383e+16;9,645734046232235e+16;1,212561846559562e+16;35;5,404175494376229e+16;5,512111481591792e+16;5,2377097048102744e+16;5,181139198811658e+16;5,392120471757054e+16;5,345451270269402e+16;1200073969860075,0;0,27193094000527174;0,2595097692222824;0,25580595792625116;0,2713842277284072;0,2416150733033273;0,260049193637108;0,011205103436254351;24;0,2275171989444908;0,22719174062759603;0,22275331330870538;0,22542330235783636;0,22864729005239817;0,22630656905820534;0,0020559141366708607;modelo_rf;;;;;;;
8;8;0,8991184234619141;0,008333381082971984;0,02783808708190918;0,0002686495471173607;6;2;6;150;-88319841,67066854;-78863595,71136874;-95001584,84464896;-85517295,64128464;-80854247,90824142;-85711313,15524247;5720725,983286718;90;-78370159,72634465;-78278611,53053331;-76771999,1317851;-76040871,80116385;-79154282,63471586;-77723184,96490856;1141056,319583601;88319841,67066854;78863595,71136874;95001584,84464896;85517295,64128464;80854247,90824142;85711313,15524247;5720725,983286718;19;78370159,72634465;78278611,53053331;76771999,1317851;76040871,80116385;79154282,63471586;77723184,96490856;1141056,319583601;0,7398705701002724;0,6905510893751468;0,7011094096719754;0,6714638563413817;0,7726264249004565;0,7151242700778465;0,0364015560758773;82;0,8291224048377527;0,8292247571203282;0,8318835533051832;0,836897584088063;0,8275286531634045;0,8309313905029463;0,003294411265719751;8,880028815557443e+16;8,712488523776635e+16;1,1181302964486312e+17;1,1094904592417605e+17;8,493369860889819e+16;9,672418951425563e+16;1,2033039246125116e+16;27;5,3966594753774696e+16;5,49931742718812e+16;5,240312968563302e+16;5,158394631415846e+16;5,3852851742340456e+16;5,335993935355757e+16;1212277667260087,8;0,2721279879974456;0,2595917471062631;0,25522258667080033;0,27229646697388216;0,2419361828341881;0,26023499431651587;0,011378109864165705;18;0,22743969401199987;0,2269013028401907;0,22261912945500942;0,22544179130464337;0,22801421143797146;0,22608322580996293;0,001931287823557942;modelo_rf;;;;;;;
9;9;0,6057306289672851;0,0064889558452996465;0,020633983612060546;0,0003190878827822512;6;3;4;100;-90201702,88521641;-77081032,392362;-96728783,26471832;-90585655,39912197;-82411461,5407247;-87401727,09642868;6875910,559510128;106;-76639997,30391952;-77898225,02466795;-76033897,99485776;-74567871,92393878;-77958672,10744119;-76619732,87096503;1263411,8062843427;90201702,88521641;77081032,392362;96728783,26471832;90585655,39912197;82411461,5407247;87401727,09642868;6875910,559510128;1;76639997,30391952;77898225,02466795;76033897,99485776;74567871,92393878;77958672,10744119;76619732,87096503;1263411,8062843427;0,7357299828692769;0,6900325816569558;0,7030810505211533;0,6693342840106797;0,7739427170990887;0,7144241232314309;0,036750806442128504;91;0,8257762614422652;0,8251948788675;0,8282486059565782;0,8331278384960172;0,8242974499119234;0,8273290069348569;0,0031820738203694;9,021375890122371e+16;8,727087032251286e+16;1,1107545160175309e+17;1,1166821799360725e+17;8,444200750173714e+16;9,693406126416682e+16;1,1930343041466732e+16;17;5,5023374400286184e+16;5,6290878747748296e+16;5,353616943905571e+16;5,27761932416541e+16;5,486177010961126e+16;5,44976771876711e+16;1225764836929432,5;0,2720866203673696;0,259779148079046;0,25576244130831954;0,2706778104284559;0,24247530150261065;0,2601562643371603;0,010817584493743879;21;0,22629382249012003;0,22681618190908207;0,2213954079895997;0,22441743932750904;0,22816447427971395;0,22541746519920497;0,002342966724715789;modelo_rf;;;;;;;
