;index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rf__max_depth;param_rf__min_samples_leaf;param_rf__min_samples_split;param_rf__n_estimators;split0_test_metrica;split1_test_metrica;split2_test_metrica;split3_test_metrica;split4_test_metrica;mean_test_metrica;std_test_metrica;rank_test_metrica;split0_train_metrica;split1_train_metrica;split2_train_metrica;split3_train_metrica;split4_train_metrica;mean_train_metrica;std_train_metrica;split0_test_meae;split1_test_meae;split2_test_meae;split3_test_meae;split4_test_meae;mean_test_meae;std_test_meae;rank_test_meae;split0_train_meae;split1_train_meae;split2_train_meae;split3_train_meae;split4_train_meae;mean_train_meae;std_train_meae;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_train_r2;split1_train_r2;split2_train_r2;split3_train_r2;split4_train_r2;mean_train_r2;std_train_r2;split0_test_rmse;split1_test_rmse;split2_test_rmse;split3_test_rmse;split4_test_rmse;mean_test_rmse;std_test_rmse;rank_test_rmse;split0_train_rmse;split1_train_rmse;split2_train_rmse;split3_train_rmse;split4_train_rmse;mean_train_rmse;std_train_rmse;split0_test_mape;split1_test_mape;split2_test_mape;split3_test_mape;split4_test_mape;mean_test_mape;std_test_mape;rank_test_mape;split0_train_mape;split1_train_mape;split2_train_mape;split3_train_mape;split4_train_mape;mean_train_mape;std_train_mape;escenario;param_gbt__max_depth;param_gbt__min_samples_leaf;param_gbt__min_samples_split;param_gbt__n_estimators;param_rnn__alpha;param_rnn__hidden_layer_sizes;param_rnn__learning_rate_init;param_rnn__max_iter
0;0;0,3729189395904541;0,004000892497924407;0,02384629249572754;0,00037780673780130953;6;2;4;100;-214816387,35639226;-204049400,5641843;-160097054,64278993;-187211833,13753492;-179726906,4071496;-189180316,4216102;19065024,517417762;20;-113610062,0510366;-101029120,31858969;-116932296,90608424;-107745437,93851203;-106844962,24977684;-109232375,89279988;5543591,797912979;214816387,35639226;204049400,5641843;160097054,64278993;187211833,13753492;179726906,4071496;189180316,4216102;19065024,517417762;89;113610062,0510366;101029120,31858969;116932296,90608424;107745437,93851203;106844962,24977684;109232375,89279988;5543591,797912979;0,32019452763924416;0,559989481498083;0,4855779593160918;0,340199011264112;0,42887752240580934;0,4269677004246681;0,08951303810347416;28;0,7910770272323665;0,7970533175389356;0,8037923153240757;0,8035482191064574;0,7966475847710192;0,7984236927945709;0,004776795175030752;2,1783023061263146e+17;1,0140409074479322e+17;9,09368833087163e+16;1,6929126736288854e+17;2,4011936631457962e+17;1,6391636766872182e+17;5,996045541945768e+16;60;5,696030070912723e+16;6,033161137301028e+16;6,0399609294703624e+16;5,704918706643518e+16;5,08204710006773e+16;5,711223588879072e+16;3486676563101718,5;0,378246887856718;0,3568521925260233;0,49771428526910383;0,4344959731897978;0,36337259104910596;0,4061363859781498;0,05334093327227127;79;0,22629622120939322;0,24094885408470607;0,23823432806850417;0,22870441703301045;0,24202241992535647;0,2352412480641941;0,006484801486114437;modelo_rf;;;;;;;;
1;1;0,43983917236328124;0,0077026699803252165;0,02463088035583496;0,0008241502670634031;6;2;4;120;-222137490,39126122;-209307018,38595343;-169848683,22893807;-190913756,5604515;-156703366,92047936;-189782063,09741673;24169890,600613363;22;-114915612,92235076;-104127847,38281798;-114710184,34119022;-111717598,28887767;-105069583,8876186;-110108165,36457105;4648266,590516826;222137490,39126122;209307018,38595343;169848683,22893807;190913756,5604515;156703366,92047936;189782063,09741673;24169890,600613363;87;114915612,92235076;104127847,38281798;114710184,34119022;111717598,28887767;105069583,8876186;110108165,36457105;4648266,590516826;0,31921724957697395;0,552573856590274;0,4893770854919294;0,3353602703994567;0,43359567999157744;0,4260248284100423;0,08912171876690572;30;0,7980652221884764;0,7965539871225892;0,8014694216278335;0,8023249250440193;0,7945478071352582;0,7985922726236353;0,0029326019680620467;2,1814338005660067e+17;1,0311308330170078e+17;9,026529331761109e+16;1,7053278804473466e+17;2,3813569196430835e+17;1,640380473369911e+17;5,93536858218292e+16;59;5,5055054575391896e+16;6,048005138819266e+16;6,1114677473189576e+16;5,740442910846637e+16;5,134523333667366e+16;5,707988917638283e+16;3603669757218758,0;0,38296919667303775;0,35926715185742586;0,49761900587765856;0,4317133857524763;0,3559136965362741;0,4054964873393745;0,053435882348720674;81;0,22638183544060814;0,2423255072238667;0,23782545944740588;0,2269598057205813;0,24312563896299094;0,2353236493590906;0,007294738180607871;modelo_rf;;;;;;;;
2;2;0,5439405918121338;0,01277346515995147;0,0294097900390625;0,002157914295252298;6;2;4;150;-229516284,29503012;-210229195,9162451;-168685717,99999994;-205838319,67104495;-151995261,17246208;-193252955,81095642;28521429,294095345;34;-112431570,450145;-114459501,23975575;-112555275,25147241;-112409829,72035688;-104404762,37829778;-111252187,80800557;3510077,1947074677;229516284,29503012;210229195,9162451;168685717,99999994;205838319,67104495;151995261,17246208;193252955,81095642;28521429,294095345;75;112431570,450145;114459501,23975575;112555275,25147241;112409829,72035688;104404762,37829778;111252187,80800557;3510077,1947074677;0,3279636598646547;0,5574511290130955;0,4794131721566317;0,31769664573745604;0,43514469319306714;0,42353385999298104;0,09113322444775768;51;0,800599077761133;0,802016952517326;0,8048577296983584;0,8022363591131272;0,7936833496289124;0,8006786937437713;0,003758264957333402;2,1534076570961414e+17;1,0198907522790582e+17;9,202666268480522e+16;1,750649082693217e+17;2,3748443398909885e+17;1,643811691761492e+17;5,862262034919477e+16;47;5,43642297538796e+16;5,88560312212077e+16;6,007163737020981e+16;5,7430148469910664e+16;5,156127275564538e+16;5,645666391417062e+16;3102121985104086,0;0,3826943643222836;0,3623383260469704;0,503600502216036;0,44185561712009;0,3576508018347689;0,4096279223080298;0,05573654743606451;46;0,23074358401837183;0,24344034229822284;0,2375327644683242;0,22662010099864835;0,2418029731253503;0,23602795298178353;0,006434144308688445;modelo_rf;;;;;;;;
3;3;0,3617429256439209;0,006417724608398293;0,021319198608398437;0,00047770462762259346;6;2;5;100;-220685267,94444966;-203199150,2419951;-166528499,09337816;-197647643,15364176;-178173442,213759;-193246800,52944475;19038697,10473754;33;-110600355,1357565;-110169582,63369405;-114765886,26111299;-117588130,72869033;-113744541,97112733;-113373699,34607625;2749361,473258753;220685267,94444966;203199150,2419951;166528499,09337816;197647643,15364176;178173442,213759;193246800,52944475;19038697,10473754;76;110600355,1357565;110169582,63369405;114765886,26111299;117588130,72869033;113744541,97112733;113373699,34607625;2749361,473258753;0,3273744722639399;0,5593764323728971;0,48641800445653494;0,32995834393827805;0,4218526035424114;0,42499597131481226;0,08989189387781231;33;0,7767316084917809;0,782479269015425;0,791970153388679;0,7868368934534492;0,7850738406929125;0,7846183530084494;0,0050190592538434135;2,1552955923387354e+17;1,0154537302443738e+17;9,07883844481135e+16;1,719188104854802e+17;2,4307288177241283e+17;1,645710017928635e+17;6,038114694716034e+16;34;6,087140418634472e+16;6,466415734513046e+16;6,403888551926167e+16;6,19021211501593e+16;5,371290345410238e+16;6,1037894330999704e+16;3913715111490094,0;0,37570062557468104;0,358164757791815;0,49739138844856273;0,43567858973179285;0,3621606439044671;0,4058192010902637;0,05359326965272354;80;0,23043680723636617;0,2495615728256555;0,24309193250265826;0,234924892956263;0,24703373899389872;0,24100978890296837;0,007246657228441496;modelo_rf;;;;;;;;
4;4;0,43383026123046875;0,010388129544506236;0,026612186431884767;0,004193944547309099;6;2;5;120;-225772979,20799994;-203232234,8060931;-170826989,10929418;-202441236,71918178;-159378653,11756936;-192330418,59202766;24032059,536882073;30;-110889553,45780039;-108859929,39066923;-117353681,03340492;-113198829,39966863;-110817503,46660694;-112223899,34963003;2909978,3830564194;225772979,20799994;203232234,8060931;170826989,10929418;202441236,71918178;159378653,11756936;192330418,59202766;24032059,536882073;79;110889553,45780039;108859929,39066923;117353681,03340492;113198829,39966863;110817503,46660694;112223899,34963003;2909978,3830564194;0,32437867140272325;0,5562198337657716;0,4924860840882984;0,32830697547876275;0,4291233840066838;0,42610298974844796;0,09083845930284816;29;0,7838875574247309;0,7829516181438609;0,7893411962460833;0,786821828872585;0,7829028924766126;0,7851810186327746;0,0025231909653220313;2,1648950442260842e+17;1,0227283747845011e+17;8,971570053152226e+16;1,723425174276751e+17;2,4001599771306397e+17;1,6416731151466397e+17;5,9885619901015064e+16;58;5,892042197658394e+16;6,452373827691215e+16;6,484817076477879e+16;6,190649587299403e+16;5,425545226399092e+16;6,089085583105197e+16;3944639175324727,0;0,3810384082575113;0,3591311818169633;0,4966458416320546;0,4335047145005103;0,35585382504433205;0,40523479425027437;0,053487673848502205;82;0,2304335644902222;0,25034431167431237;0,24241100994745718;0,23312206099677793;0,24827625611213386;0,2409174406441807;0,007948942254570645;modelo_rf;;;;;;;;
5;5;0,5278380393981934;0,0038595850868093375;0,02820167541503906;0,001581076387990817;6;2;5;150;-225428915,61778146;-214446230,15981293;-174103079,53572905;-196215921,62080514;-156516796,54357284;-193342188,69554028;25335547,280622475;35;-107823038,06244159;-116453643,67951274;-110996635,28033257;-113246708,30201817;-109882238,15409523;-111680452,69568005;2960315,46428245;225428915,61778146;214446230,15981293;174103079,53572905;196215921,62080514;156516796,54357284;193342188,69554028;25335547,280622475;74;107823038,06244159;116453643,67951274;110996635,28033257;113246708,30201817;109882238,15409523;111680452,69568005;2960315,46428245;0,33596535653385107;0,562857062105488;0,48269131351053307;0,306883808578188;0,43288297480824733;0,4242561031072615;0,09409658231727412;38;0,7865933151817991;0,7887500701541189;0,793993479939862;0,7867594194730273;0,7825606806852726;0,7877313930868161;0,0037209583573537693;2,1277678012607594e+17;1,0074323289730056e+17;9,144716971173414e+16;1,7783925831991517e+17;2,3843533752844592e+17;1,6424835571669434e+17;5,8951407426115896e+16;54;5,818273012083923e+16;6,279998527437144e+16;6,3416034618345624e+16;6,192461943234218e+16;5,434097553844184e+16;6,0132868996868056e+16;3419126403874438,5;0,37980192746465824;0,3606547886292232;0,5023224089933893;0,4437326873411149;0,3576254227791851;0,4088274470415142;0,056114912108154114;57;0,23466891916012286;0,2513397275574706;0,24210341754120757;0,23338602482677637;0,2466883733715908;0,24163729249143368;0,006877638865030952;modelo_rf;;;;;;;;
6;6;0,36210222244262696;0,007927777265556771;0,023242092132568358;0,0033881163850100113;6;2;6;100;-223059286,55565554;-208773341,422081;-167145353,48042625;-184098373,77062947;-178559114,72962555;-192327093,99168354;20524794,07421205;29;-113081686,45940602;-108882568,24215806;-121856032,05258489;-117213543,48193184;-115166283,40537009;-115240022,72829017;4306911,747987781;223059286,55565554;208773341,422081;167145353,48042625;184098373,77062947;178559114,72962555;192327093,99168354;20524794,07421205;80;113081686,45940602;108882568,24215806;121856032,05258489;117213543,48193184;115166283,40537009;115240022,72829017;4306911,747987781;0,33389708848789446;0,5539738809453888;0,4723646792162076;0,3310972360866422;0,4338254134237849;0,4250316596319836;0,08493883360437575;32;0,765550185078544;0,7686888812798507;0,7795723899596029;0,7743735591655911;0,7710780899540828;0,7718526210875343;0,00482244352846938;2,1343951575227632e+17;1,0279043602218954e+17;9,327265902503494e+16;1,7162659434989117e+17;2,3803910419491203e+17;1,638336618688608e+17;5,784988980292996e+16;61;6,3919882922488376e+16;6,8763738099328856e+16;6,785535207856687e+16;6,552144740938439e+16;5,721062755909764e+16;6,4654209613773224e+16;4094723149172764,0;0,37883635360984136;0,36242863530077357;0,5022525701147146;0,43555721524505214;0,3590610346214017;0,4076271617783567;0,05470748015992235;64;0,23553230351498572;0,25638941202108095;0,24970367755428158;0,24149769966509102;0,25165547016816747;0,24695571258472135;0,007468840575056223;modelo_rf;;;;;;;;
7;7;0,422818660736084;0,007088640556320804;0,023419761657714845;0,00035021219302777516;6;2;6;120;-221424809,94594157;-210212363,0112213;-170573745,2329757;-191320923,3934163;-155532052,02664638;-189812778,72204024;24343568,719395895;23;-114972769,41904283;-108663786,49943978;-122103354,99774593;-121670729,89242026;-112976561,79410356;-116077440,52055049;5165163,005120232;221424809,94594157;210212363,0112213;170573745,2329757;191320923,3934163;155532052,02664638;189812778,72204024;24343568,719395895;86;114972769,41904283;108663786,49943978;122103354,99774593;121670729,89242026;112976561,79410356;116077440,52055049;5165163,005120232;0,3320527320450545;0,5505955648905165;0,481374012038736;0,33074207498908403;0,44252595797059135;0,4274580683867965;0,08573561092449215;27;0,7725335288411044;0,7695545202776558;0,7772890448214407;0,7735599381519881;0,7703410616516008;0,772655618748758;0,002730396417485864;2,1403050332976752e+17;1,0356899710968174e+17;9,16800354926481e+16;1,7171772133113264e+17;2,343810985566619e+17;1,630756711639784e+17;5,7260675821555304e+16;88;6,201595940751398e+16;6,8506402552023624e+16;6,855824582331368e+16;6,575772125325131e+16;5,739482072656401e+16;6,444662995253333e+16;4260100273118793,5;0,3828557967309879;0,3633597748949899;0,4996411643762833;0,4327747631916083;0,35305386467342215;0,40633707277345826;0,05411492161580456;75;0,23536745860595096;0,2572394517789212;0,24906252090018352;0,24006472115913566;0,2522301703057819;0,24679286454999466;0,007995681747488322;modelo_rf;;;;;;;;
8;8;0,5257528305053711;0,0120130661020916;0,028627729415893553;0,0023624144758805556;6;2;6;150;-223111225,4710763;-218255961,3427515;-170809259,86422753;-193987522,5570522;-153832951,63436425;-191999384,17389435;26709568,131324805;28;-114382174,62191296;-118694333,32320231;-121269819,449539;-118503516,26695764;-111815482,7761572;-116933065,28755383;3378535,5402188557;223111225,4710763;218255961,3427515;170809259,86422753;193987522,5570522;153832951,63436425;191999384,17389435;26709568,131324805;81;114382174,62191296;118694333,32320231;121269819,449539;118503516,26695764;111815482,7761572;116933065,28755383;3378535,5402188557;0,3395027890293356;0,5551991610604299;0,473971893046666;0,30878401308167447;0,445056513461755;0,42450287393597225;0,09007444100209608;37;0,7740740107222618;0,7756342278924678;0,7820589649033565;0,7731870621735897;0,7696685021676902;0,7749245535718733;0,004068705901135063;2,1164327978282022e+17;1,0250806000900592e+17;9,298854402802152e+16;1,7735170520293635e+17;2,3331716672977654e+17;1,635617511505121e+17;5,67026366169682e+16;72;6,15959658087953e+16;6,669903840775514e+16;6,708989706933634e+16;6,586600365897693e+16;5,75629022795164e+16;6,376276144487602e+16;3667381591170894,0;0,3814167685445025;0,3650381598389275;0,5033780049343956;0,4426948532663495;0,3554409255776913;0,4095937424323733;0,055862045795884066;47;0,23963183505555544;0,25839663790863615;0,2484192148236391;0,240604231170437;0,25135773260139893;0,24768193031193336;0,0069822335764363926;modelo_rf;;;;;;;;
9;9;0,35396366119384765;0,007528426955170972;0,022512340545654298;0,0010296541260343313;6;3;4;100;-221681443,07880974;-198726403,09279406;-192215460,67660707;-205239684,4427142;-165860398,95020556;-196744678,04822612;18288177,183027316;37;-108295726,60183907;-121959799,07527107;-125261459,42246592;-126150509,87249029;-124859063,40189558;-121305311,67479238;6654830,718238917;221681443,07880974;198726403,09279406;192215460,67660707;205239684,4427142;165860398,95020556;196744678,04822612;18288177,183027316;70;108295726,60183907;121959799,07527107;125261459,42246592;126150509,87249029;124859063,40189558;121305311,67479238;6654830,718238917;0,32189288068935507;0,5426914769199587;0,4433255789956936;0,3414247980464562;0,4361577479885975;0,41709849652801223;0,0795177081835633;88;0,7510631875414624;0,7517093123398295;0,7595869762705718;0,7547562611929952;0,7538889748289248;0,7542009424347567;0,0030155858300245576;2,172860269373027e+17;1,0539056004992717e+17;9,840604184944162e+16;1,6897675586405418e+17;2,3705851120530406e+17;1,6542357918120595e+17;5,6443273707185816e+16;1;6,786958613201686e+16;7,38113926958366e+16;7,400756360078266e+16;7,121826978832272e+16;6,150641586218585e+16;6,968264561582894e+16;4652902906844170,0;0,38581573328715885;0,35396910358023853;0,5159996639491444;0,4399315584727731;0,36225809782857327;0,41159483142357767;0,06020421720540578;22;0,23818913159652327;0,26401056821640656;0,2577010937149865;0,24778586079493353;0,2563619398603046;0,2528097188366309;0,008955485135924058;modelo_rf;;;;;;;;
